ip_address,ip_type,service,region
20.20.55.160/27,IPv4,AzureCloud.northeastus5,northeastus5
20.38.55.0/24,IPv4,AzureCloud.northeastus5,northeastus5
20.152.126.0/23,IPv4,AzureCloud.northeastus5,northeastus5
20.153.103.0/24,IPv4,AzureCloud.northeastus5,northeastus5
20.201.180.0/24,IPv4,AzureCloud.northeastus5,northeastus5
20.231.152.0/27,IPv4,AzureCloud.northeastus5,northeastus5
57.157.96.0/25,IPv4,AzureCloud.northeastus5,northeastus5
57.157.96.128/26,IPv4,AzureCloud.northeastus5,northeastus5
57.157.96.192/27,IPv4,AzureCloud.northeastus5,northeastus5
57.157.96.224/29,IPv4,AzureCloud.northeastus5,northeastus5
57.163.0.0/23,IPv4,AzureCloud.northeastus5,northeastus5
57.163.4.0/23,IPv4,AzureCloud.northeastus5,northeastus5
74.149.0.0/17,IPv4,AzureCloud.northeastus5,northeastus5
135.130.98.0/23,IPv4,AzureCloud.northeastus5,northeastus5
135.130.100.0/24,IPv4,AzureCloud.northeastus5,northeastus5
135.130.190.0/23,IPv4,AzureCloud.northeastus5,northeastus5
135.130.192.0/23,IPv4,AzureCloud.northeastus5,northeastus5
135.130.198.0/23,IPv4,AzureCloud.northeastus5,northeastus5
145.190.61.0/24,IPv4,AzureCloud.northeastus5,northeastus5
145.190.136.0/24,IPv4,AzureCloud.northeastus5,northeastus5
145.190.138.0/23,IPv4,AzureCloud.northeastus5,northeastus5
145.190.160.0/24,IPv4,AzureCloud.northeastus5,northeastus5
145.190.166.0/24,IPv4,AzureCloud.northeastus5,northeastus5
172.194.0.0/17,IPv4,AzureCloud.northeastus5,northeastus5
209.199.36.96/28,IPv4,AzureCloud.northeastus5,northeastus5
209.199.42.128/25,IPv4,AzureCloud.northeastus5,northeastus5
209.199.43.0/25,IPv4,AzureCloud.northeastus5,northeastus5
2603:1030:1601::/48,IPv6,AzureCloud.northeastus5,northeastus5
2603:1030:1602::/47,IPv6,AzureCloud.northeastus5,northeastus5
2603:1030:1604::/48,IPv6,AzureCloud.northeastus5,northeastus5
2603:1030:1605::/48,IPv6,AzureCloud.northeastus5,northeastus5
2603:1036:3000:300::/59,IPv6,AzureCloud.northeastus5,northeastus5
2603:1037:1:320::/59,IPv6,AzureCloud.northeastus5,northeastus5
2603:1061:101c::/58,IPv6,AzureCloud.northeastus5,northeastus5
2603:1061:101c:40::/59,IPv6,AzureCloud.northeastus5,northeastus5
2603:1061:101c:60::/61,IPv6,AzureCloud.northeastus5,northeastus5
2603:1061:101c:68::/62,IPv6,AzureCloud.northeastus5,northeastus5
2603:1061:101c:6c::/63,IPv6,AzureCloud.northeastus5,northeastus5
2603:1061:174d::/63,IPv6,AzureCloud.northeastus5,northeastus5
2603:1063:2204:14::/64,IPv6,AzureCloud.northeastus5,northeastus5
