ip_address,ip_type,service,region
13.105.104.80/28,IPv4,AzureCloud.polandcentral,polandcentral
13.105.104.128/26,IPv4,AzureCloud.polandcentral,polandcentral
20.20.34.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.20.105.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.33.174.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.33.204.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.38.17.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.60.92.0/23,IPv4,AzureCloud.polandcentral,polandcentral
20.135.248.0/23,IPv4,AzureCloud.polandcentral,polandcentral
20.143.6.0/23,IPv4,AzureCloud.polandcentral,polandcentral
20.143.20.0/22,IPv4,AzureCloud.polandcentral,polandcentral
20.157.168.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.157.206.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.157.225.0/24,IPv4,AzureCloud.polandcentral,polandcentral
20.209.60.0/23,IPv4,AzureCloud.polandcentral,polandcentral
20.209.94.0/23,IPv4,AzureCloud.polandcentral,polandcentral
20.215.0.0/16,IPv4,AzureCloud.polandcentral,polandcentral
20.231.130.0/24,IPv4,AzureCloud.polandcentral,polandcentral
40.64.147.240/29,IPv4,AzureCloud.polandcentral,polandcentral
40.64.154.0/27,IPv4,AzureCloud.polandcentral,polandcentral
40.64.186.128/25,IPv4,AzureCloud.polandcentral,polandcentral
40.93.83.0/24,IPv4,AzureCloud.polandcentral,polandcentral
40.98.19.128/25,IPv4,AzureCloud.polandcentral,polandcentral
40.101.112.64/26,IPv4,AzureCloud.polandcentral,polandcentral
40.101.112.128/25,IPv4,AzureCloud.polandcentral,polandcentral
40.107.154.0/23,IPv4,AzureCloud.polandcentral,polandcentral
40.107.156.0/24,IPv4,AzureCloud.polandcentral,polandcentral
40.123.138.0/30,IPv4,AzureCloud.polandcentral,polandcentral
40.123.172.0/24,IPv4,AzureCloud.polandcentral,polandcentral
48.208.38.0/24,IPv4,AzureCloud.polandcentral,polandcentral
48.212.39.0/24,IPv4,AzureCloud.polandcentral,polandcentral
48.212.166.0/24,IPv4,AzureCloud.polandcentral,polandcentral
48.213.38.0/24,IPv4,AzureCloud.polandcentral,polandcentral
51.5.61.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.101.181.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.101.182.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.102.181.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.103.53.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.103.181.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.106.191.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.108.129.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.108.144.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.109.146.0/23,IPv4,AzureCloud.polandcentral,polandcentral
52.111.199.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.112.100.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.113.65.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.123.42.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.123.220.0/24,IPv4,AzureCloud.polandcentral,polandcentral
52.253.204.0/23,IPv4,AzureCloud.polandcentral,polandcentral
52.253.206.0/24,IPv4,AzureCloud.polandcentral,polandcentral
57.150.76.0/23,IPv4,AzureCloud.polandcentral,polandcentral
70.152.17.0/24,IPv4,AzureCloud.polandcentral,polandcentral
74.248.0.0/16,IPv4,AzureCloud.polandcentral,polandcentral
134.112.0.0/16,IPv4,AzureCloud.polandcentral,polandcentral
2603:1020:1300::/47,IPv6,AzureCloud.polandcentral,polandcentral
2603:1020:1302::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1020:1303::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1020:1305::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1026:900:3a::/63,IPv6,AzureCloud.polandcentral,polandcentral
2603:1026:900:3c::/64,IPv6,AzureCloud.polandcentral,polandcentral
2603:1026:900:4b::/64,IPv6,AzureCloud.polandcentral,polandcentral
2603:1026:2413::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1026:3000:260::/59,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1006::/57,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1006:80::/58,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1006:c0::/59,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1006:e0::/60,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1006:f0::/61,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1006:f8::/63,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1311:3000::/54,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:1735::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:2000:6a0::/62,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:2002:9800::/57,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:2004:9800::/57,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:2010:35::/64,IPv6,AzureCloud.polandcentral,polandcentral
2603:1061:2011:35::/64,IPv6,AzureCloud.polandcentral,polandcentral
2603:1062:c:1c::/63,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:45::/56,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:12f::/55,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:12f:200::/56,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:230::/56,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:42d::/56,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:616::/56,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:719::/56,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:2206:48::/64,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:2428::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:2628::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:2826::/48,IPv6,AzureCloud.polandcentral,polandcentral
2603:1063:2a26::/48,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:c211::/64,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:ca38::/63,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:ca5c::/63,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:ca5e::/64,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:d211::/64,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:da11::/64,IPv6,AzureCloud.polandcentral,polandcentral
2a01:111:f403:e211::/64,IPv6,AzureCloud.polandcentral,polandcentral
