ip_address,ip_type,service,region
4.170.0.0/15,IPv4,AzureCloud.qatarcentral,qatarcentral
4.244.0.0/16,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.99.64/27,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.99.96/28,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.99.128/27,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.101.128/27,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.101.160/28,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.101.192/27,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.103.16/28,IPv4,AzureCloud.qatarcentral,qatarcentral
13.105.103.64/26,IPv4,AzureCloud.qatarcentral,qatarcentral
20.20.46.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.21.0.0/16,IPv4,AzureCloud.qatarcentral,qatarcentral
20.33.176.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.38.16.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.60.208.0/23,IPv4,AzureCloud.qatarcentral,qatarcentral
20.95.129.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.135.238.0/23,IPv4,AzureCloud.qatarcentral,qatarcentral
20.135.242.0/23,IPv4,AzureCloud.qatarcentral,qatarcentral
20.135.244.0/22,IPv4,AzureCloud.qatarcentral,qatarcentral
20.157.154.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.157.190.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.157.207.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
20.173.0.0/16,IPv4,AzureCloud.qatarcentral,qatarcentral
20.190.191.192/26,IPv4,AzureCloud.qatarcentral,qatarcentral
20.209.2.0/23,IPv4,AzureCloud.qatarcentral,qatarcentral
20.209.54.0/23,IPv4,AzureCloud.qatarcentral,qatarcentral
20.209.202.0/23,IPv4,AzureCloud.qatarcentral,qatarcentral
20.231.143.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
40.64.185.128/25,IPv4,AzureCloud.qatarcentral,qatarcentral
40.93.84.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
40.100.64.192/26,IPv4,AzureCloud.qatarcentral,qatarcentral
40.100.65.0/25,IPv4,AzureCloud.qatarcentral,qatarcentral
40.107.11.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
40.107.12.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
40.107.38.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
40.123.148.0/24,IPv4,AzureCloud.qatarcentral,qatarcentral
40.123.149.0/28,IPv4,AzureCloud.qatarcentral,qatarcentral
