ip_address,ip_type,service,region
9.129.45.0/25,IPv4,AzureCloud.southeastus3,southeastus3
9.129.58.96/28,IPv4,AzureCloud.southeastus3,southeastus3
20.20.52.128/27,IPv4,AzureCloud.southeastus3,southeastus3
20.33.119.0/24,IPv4,AzureCloud.southeastus3,southeastus3
20.38.51.0/24,IPv4,AzureCloud.southeastus3,southeastus3
20.143.104.0/23,IPv4,AzureCloud.southeastus3,southeastus3
20.153.28.0/24,IPv4,AzureCloud.southeastus3,southeastus3
20.153.46.0/24,IPv4,AzureCloud.southeastus3,southeastus3
20.153.112.0/24,IPv4,AzureCloud.southeastus3,southeastus3
20.201.174.0/24,IPv4,AzureCloud.southeastus3,southeastus3
20.231.149.0/27,IPv4,AzureCloud.southeastus3,southeastus3
52.106.121.160/27,IPv4,AzureCloud.southeastus3,southeastus3
57.150.186.0/23,IPv4,AzureCloud.southeastus3,southeastus3
57.150.214.0/23,IPv4,AzureCloud.southeastus3,southeastus3
57.157.16.0/24,IPv4,AzureCloud.southeastus3,southeastus3
57.157.17.0/27,IPv4,AzureCloud.southeastus3,southeastus3
57.157.17.32/28,IPv4,AzureCloud.southeastus3,southeastus3
57.157.17.48/30,IPv4,AzureCloud.southeastus3,southeastus3
57.157.17.52/31,IPv4,AzureCloud.southeastus3,southeastus3
74.7.0.0/17,IPv4,AzureCloud.southeastus3,southeastus3
135.130.124.0/23,IPv4,AzureCloud.southeastus3,southeastus3
135.130.144.0/23,IPv4,AzureCloud.southeastus3,southeastus3
209.199.31.176/28,IPv4,AzureCloud.southeastus3,southeastus3
209.199.33.64/26,IPv4,AzureCloud.southeastus3,southeastus3
209.199.33.128/26,IPv4,AzureCloud.southeastus3,southeastus3
2603:1030:1301::/48,IPv6,AzureCloud.southeastus3,southeastus3
2603:1030:1302::/47,IPv6,AzureCloud.southeastus3,southeastus3
2603:1030:1304::/48,IPv6,AzureCloud.southeastus3,southeastus3
2603:1030:1305::/48,IPv6,AzureCloud.southeastus3,southeastus3
2603:1036:3000:240::/59,IPv6,AzureCloud.southeastus3,southeastus3
2603:1037:1:280::/59,IPv6,AzureCloud.southeastus3,southeastus3
2603:1061:1018::/57,IPv6,AzureCloud.southeastus3,southeastus3
2603:1061:1018:80::/60,IPv6,AzureCloud.southeastus3,southeastus3
2603:1061:1018:90::/63,IPv6,AzureCloud.southeastus3,southeastus3
2603:1061:1018:92::/64,IPv6,AzureCloud.southeastus3,southeastus3
2603:1061:1312:5800::/54,IPv6,AzureCloud.southeastus3,southeastus3
2603:1061:174a::/63,IPv6,AzureCloud.southeastus3,southeastus3
2603:1063:2206:4c::/64,IPv6,AzureCloud.southeastus3,southeastus3
