ip_address,ip_type,service,region
13.105.75.160/27,IPv4,AzureCloud.swedensouth,swedensouth
13.105.75.192/28,IPv4,AzureCloud.swedensouth,swedensouth
13.105.75.224/27,IPv4,AzureCloud.swedensouth,swedensouth
20.33.175.0/24,IPv4,AzureCloud.swedensouth,swedensouth
20.60.76.0/23,IPv4,AzureCloud.swedensouth,swedensouth
20.60.192.0/23,IPv4,AzureCloud.swedensouth,swedensouth
20.91.0.0/17,IPv4,AzureCloud.swedensouth,swedensouth
20.135.60.0/23,IPv4,AzureCloud.swedensouth,swedensouth
20.150.45.0/24,IPv4,AzureCloud.swedensouth,swedensouth
20.150.99.0/24,IPv4,AzureCloud.swedensouth,swedensouth
20.157.150.0/24,IPv4,AzureCloud.swedensouth,swedensouth
20.157.196.0/24,IPv4,AzureCloud.swedensouth,swedensouth
20.190.182.0/24,IPv4,AzureCloud.swedensouth,swedensouth
40.64.144.128/29,IPv4,AzureCloud.swedensouth,swedensouth
40.64.153.96/27,IPv4,AzureCloud.swedensouth,swedensouth
40.64.182.128/25,IPv4,AzureCloud.swedensouth,swedensouth
40.93.213.0/24,IPv4,AzureCloud.swedensouth,swedensouth
40.101.0.0/24,IPv4,AzureCloud.swedensouth,swedensouth
40.101.112.0/26,IPv4,AzureCloud.swedensouth,swedensouth
40.119.116.0/22,IPv4,AzureCloud.swedensouth,swedensouth
40.126.54.0/24,IPv4,AzureCloud.swedensouth,swedensouth
40.126.204.0/24,IPv4,AzureCloud.swedensouth,swedensouth
48.212.55.0/24,IPv4,AzureCloud.swedensouth,swedensouth
48.212.183.0/24,IPv4,AzureCloud.swedensouth,swedensouth
48.213.55.0/24,IPv4,AzureCloud.swedensouth,swedensouth
51.5.66.0/24,IPv4,AzureCloud.swedensouth,swedensouth
51.12.0.0/20,IPv4,AzureCloud.swedensouth,swedensouth
51.12.16.0/21,IPv4,AzureCloud.swedensouth,swedensouth
51.12.104.0/27,IPv4,AzureCloud.swedensouth,swedensouth
51.12.112.0/20,IPv4,AzureCloud.swedensouth,swedensouth
51.12.136.0/21,IPv4,AzureCloud.swedensouth,swedensouth
51.12.160.0/19,IPv4,AzureCloud.swedensouth,swedensouth
51.12.192.0/20,IPv4,AzureCloud.swedensouth,swedensouth
52.101.74.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.101.76.0/22,IPv4,AzureCloud.swedensouth,swedensouth
52.102.162.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.103.34.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.103.162.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.106.186.64/27,IPv4,AzureCloud.swedensouth,swedensouth
52.108.135.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.109.173.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.111.210.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.112.119.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.112.121.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.112.129.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.123.51.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.123.223.0/24,IPv4,AzureCloud.swedensouth,swedensouth
52.253.190.0/24,IPv4,AzureCloud.swedensouth,swedensouth
70.152.28.0/24,IPv4,AzureCloud.swedensouth,swedensouth
74.241.0.0/17,IPv4,AzureCloud.swedensouth,swedensouth
2603:1020:1100::/47,IPv6,AzureCloud.swedensouth,swedensouth
2603:1020:1103::/48,IPv6,AzureCloud.swedensouth,swedensouth
2603:1020:1104::/46,IPv6,AzureCloud.swedensouth,swedensouth
2603:1020:1109::/48,IPv6,AzureCloud.swedensouth,swedensouth
2603:1026:900:1::/64,IPv6,AzureCloud.swedensouth,swedensouth
