ip_address,ip_type,service,region
4.226.128.0/17,IPv4,AzureCloud.switzerlandw,switzerlandw
13.104.144.0/27,IPv4,AzureCloud.switzerlandw,switzerlandw
13.104.212.0/26,IPv4,AzureCloud.switzerlandw,switzerlandw
20.47.26.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.47.67.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.47.103.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.60.176.0/23,IPv4,AzureCloud.switzerlandw,switzerlandw
20.95.97.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.135.62.0/23,IPv4,AzureCloud.switzerlandw,switzerlandw
20.150.55.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.150.116.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.157.133.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.190.184.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
20.199.192.0/18,IPv4,AzureCloud.switzerlandw,switzerlandw
20.208.192.0/18,IPv4,AzureCloud.switzerlandw,switzerlandw
40.64.147.208/29,IPv4,AzureCloud.switzerlandw,switzerlandw
40.64.179.0/25,IPv4,AzureCloud.switzerlandw,switzerlandw
40.90.19.32/27,IPv4,AzureCloud.switzerlandw,switzerlandw
40.90.128.192/28,IPv4,AzureCloud.switzerlandw,switzerlandw
40.93.86.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
40.107.170.0/23,IPv4,AzureCloud.switzerlandw,switzerlandw
40.107.172.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
40.119.84.0/22,IPv4,AzureCloud.switzerlandw,switzerlandw
40.126.56.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
40.126.195.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
51.5.69.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
51.103.192.0/27,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.96.0/19,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.136.0/21,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.144.0/20,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.160.0/20,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.192.0/21,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.224.0/20,IPv4,AzureCloud.switzerlandw,switzerlandw
51.107.248.0/21,IPv4,AzureCloud.switzerlandw,switzerlandw
52.101.187.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.101.188.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.102.184.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.103.56.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.103.184.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.108.179.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.108.200.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.109.158.0/23,IPv4,AzureCloud.switzerlandw,switzerlandw
52.111.203.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.114.230.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.123.52.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.123.154.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.239.250.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
52.253.166.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
57.150.22.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
70.152.30.0/24,IPv4,AzureCloud.switzerlandw,switzerlandw
74.242.0.0/18,IPv4,AzureCloud.switzerlandw,switzerlandw
74.242.64.0/21,IPv4,AzureCloud.switzerlandw,switzerlandw
2603:1020:b00::/47,IPv6,AzureCloud.switzerlandw,switzerlandw
2603:1020:b03::/48,IPv6,AzureCloud.switzerlandw,switzerlandw
2603:1020:b04::/47,IPv6,AzureCloud.switzerlandw,switzerlandw
