ip_address,ip_type,service,region
13.104.159.128/26,IPv4,AzureCloud.uaecentral,uaecentral
20.33.193.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.37.64.0/19,IPv4,AzureCloud.uaecentral,uaecentral
20.45.64.0/19,IPv4,AzureCloud.uaecentral,uaecentral
20.46.200.0/21,IPv4,AzureCloud.uaecentral,uaecentral
20.46.208.0/20,IPv4,AzureCloud.uaecentral,uaecentral
20.47.54.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.47.94.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.60.108.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.135.36.0/23,IPv4,AzureCloud.uaecentral,uaecentral
20.143.54.0/23,IPv4,AzureCloud.uaecentral,uaecentral
20.150.6.0/23,IPv4,AzureCloud.uaecentral,uaecentral
20.150.115.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.157.131.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.190.188.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.201.161.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.203.88.0/21,IPv4,AzureCloud.uaecentral,uaecentral
20.209.200.0/23,IPv4,AzureCloud.uaecentral,uaecentral
20.209.219.0/24,IPv4,AzureCloud.uaecentral,uaecentral
20.216.64.0/18,IPv4,AzureCloud.uaecentral,uaecentral
40.64.146.144/28,IPv4,AzureCloud.uaecentral,uaecentral
40.64.178.0/25,IPv4,AzureCloud.uaecentral,uaecentral
40.90.16.64/27,IPv4,AzureCloud.uaecentral,uaecentral
40.90.128.48/28,IPv4,AzureCloud.uaecentral,uaecentral
40.90.151.224/27,IPv4,AzureCloud.uaecentral,uaecentral
40.93.134.0/24,IPv4,AzureCloud.uaecentral,uaecentral
40.100.62.0/25,IPv4,AzureCloud.uaecentral,uaecentral
40.100.62.128/26,IPv4,AzureCloud.uaecentral,uaecentral
40.107.48.0/23,IPv4,AzureCloud.uaecentral,uaecentral
40.107.50.0/24,IPv4,AzureCloud.uaecentral,uaecentral
40.119.76.0/22,IPv4,AzureCloud.uaecentral,uaecentral
40.120.0.0/20,IPv4,AzureCloud.uaecentral,uaecentral
40.125.0.0/19,IPv4,AzureCloud.uaecentral,uaecentral
40.126.60.0/24,IPv4,AzureCloud.uaecentral,uaecentral
40.126.193.0/24,IPv4,AzureCloud.uaecentral,uaecentral
40.126.208.0/20,IPv4,AzureCloud.uaecentral,uaecentral
51.5.44.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.101.142.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.101.147.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.101.159.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.102.198.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.103.70.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.103.198.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.108.183.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.108.204.0/23,IPv4,AzureCloud.uaecentral,uaecentral
52.109.160.0/23,IPv4,AzureCloud.uaecentral,uaecentral
52.111.247.0/24,IPv4,AzureCloud.uaecentral,uaecentral
52.114.232.0/24,IPv4,AzureCloud.uaecentral,uaecentral
