ip_address,ip_type,service,region
4.161.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
4.162.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
13.104.151.64/26,IPv4,AzureCloud.uaenorth,uaenorth
13.104.151.128/26,IPv4,AzureCloud.uaenorth,uaenorth
13.105.61.16/28,IPv4,AzureCloud.uaenorth,uaenorth
13.105.61.64/26,IPv4,AzureCloud.uaenorth,uaenorth
13.105.102.128/27,IPv4,AzureCloud.uaenorth,uaenorth
13.105.102.160/28,IPv4,AzureCloud.uaenorth,uaenorth
13.105.102.192/27,IPv4,AzureCloud.uaenorth,uaenorth
20.20.44.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.33.139.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.33.195.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.38.124.0/23,IPv4,AzureCloud.uaenorth,uaenorth
20.38.136.0/21,IPv4,AzureCloud.uaenorth,uaenorth
20.38.152.0/21,IPv4,AzureCloud.uaenorth,uaenorth
20.46.32.0/19,IPv4,AzureCloud.uaenorth,uaenorth
20.46.144.0/20,IPv4,AzureCloud.uaenorth,uaenorth
20.46.192.0/21,IPv4,AzureCloud.uaenorth,uaenorth
20.47.55.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.47.95.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.60.21.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.60.212.0/23,IPv4,AzureCloud.uaenorth,uaenorth
20.74.128.0/17,IPv4,AzureCloud.uaenorth,uaenorth
20.95.130.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.95.145.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.135.114.0/23,IPv4,AzureCloud.uaenorth,uaenorth
20.135.116.0/22,IPv4,AzureCloud.uaenorth,uaenorth
20.153.56.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.153.153.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.157.20.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.157.74.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.157.141.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.174.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
20.190.187.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.196.0.0/18,IPv4,AzureCloud.uaenorth,uaenorth
20.202.72.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.202.102.0/23,IPv4,AzureCloud.uaenorth,uaenorth
20.203.0.0/18,IPv4,AzureCloud.uaenorth,uaenorth
20.203.64.0/20,IPv4,AzureCloud.uaenorth,uaenorth
20.203.80.0/21,IPv4,AzureCloud.uaenorth,uaenorth
20.203.96.0/19,IPv4,AzureCloud.uaenorth,uaenorth
20.209.50.0/23,IPv4,AzureCloud.uaenorth,uaenorth
20.209.238.0/23,IPv4,AzureCloud.uaenorth,uaenorth
20.216.0.0/18,IPv4,AzureCloud.uaenorth,uaenorth
20.231.141.0/24,IPv4,AzureCloud.uaenorth,uaenorth
20.233.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
40.64.145.112/28,IPv4,AzureCloud.uaenorth,uaenorth
40.64.149.0/27,IPv4,AzureCloud.uaenorth,uaenorth
40.64.177.0/25,IPv4,AzureCloud.uaenorth,uaenorth
40.90.16.96/27,IPv4,AzureCloud.uaenorth,uaenorth
40.90.128.64/28,IPv4,AzureCloud.uaenorth,uaenorth
40.90.152.128/27,IPv4,AzureCloud.uaenorth,uaenorth
40.93.135.0/24,IPv4,AzureCloud.uaenorth,uaenorth
40.100.62.192/26,IPv4,AzureCloud.uaenorth,uaenorth
40.100.63.0/25,IPv4,AzureCloud.uaenorth,uaenorth
40.107.54.0/23,IPv4,AzureCloud.uaenorth,uaenorth
40.107.56.0/24,IPv4,AzureCloud.uaenorth,uaenorth
40.119.72.0/22,IPv4,AzureCloud.uaenorth,uaenorth
40.119.160.0/19,IPv4,AzureCloud.uaenorth,uaenorth
40.120.64.0/18,IPv4,AzureCloud.uaenorth,uaenorth
40.123.192.0/19,IPv4,AzureCloud.uaenorth,uaenorth
40.123.224.0/20,IPv4,AzureCloud.uaenorth,uaenorth
40.126.59.0/24,IPv4,AzureCloud.uaenorth,uaenorth
40.126.192.0/24,IPv4,AzureCloud.uaenorth,uaenorth
48.208.211.0/24,IPv4,AzureCloud.uaenorth,uaenorth
48.208.212.0/24,IPv4,AzureCloud.uaenorth,uaenorth
48.212.47.0/24,IPv4,AzureCloud.uaenorth,uaenorth
48.212.174.0/24,IPv4,AzureCloud.uaenorth,uaenorth
48.213.46.0/24,IPv4,AzureCloud.uaenorth,uaenorth
51.5.19.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.101.143.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.101.148.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.101.224.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.102.199.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.103.71.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.103.199.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.106.186.192/27,IPv4,AzureCloud.uaenorth,uaenorth
52.108.70.0/23,IPv4,AzureCloud.uaenorth,uaenorth
52.108.92.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.109.162.0/23,IPv4,AzureCloud.uaenorth,uaenorth
52.111.204.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.112.200.0/22,IPv4,AzureCloud.uaenorth,uaenorth
52.112.204.0/23,IPv4,AzureCloud.uaenorth,uaenorth
52.112.207.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.114.236.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.121.100.0/22,IPv4,AzureCloud.uaenorth,uaenorth
52.121.104.0/23,IPv4,AzureCloud.uaenorth,uaenorth
52.123.54.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.123.158.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.143.202.0/24,IPv4,AzureCloud.uaenorth,uaenorth
52.143.222.0/23,IPv4,AzureCloud.uaenorth,uaenorth
52.239.233.128/25,IPv4,AzureCloud.uaenorth,uaenorth
57.150.230.0/23,IPv4,AzureCloud.uaenorth,uaenorth
65.52.248.0/21,IPv4,AzureCloud.uaenorth,uaenorth
70.152.32.0/24,IPv4,AzureCloud.uaenorth,uaenorth
70.152.228.0/24,IPv4,AzureCloud.uaenorth,uaenorth
74.162.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
74.243.192.0/18,IPv4,AzureCloud.uaenorth,uaenorth
151.206.69.0/25,IPv4,AzureCloud.uaenorth,uaenorth
151.206.146.0/24,IPv4,AzureCloud.uaenorth,uaenorth
172.163.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
172.164.0.0/16,IPv4,AzureCloud.uaenorth,uaenorth
2603:1040:900::/47,IPv6,AzureCloud.uaenorth,uaenorth
2603:1040:903::/48,IPv6,AzureCloud.uaenorth,uaenorth
2603:1040:904::/47,IPv6,AzureCloud.uaenorth,uaenorth
2603:1040:906::/48,IPv6,AzureCloud.uaenorth,uaenorth
2603:1046:a00:42::/63,IPv6,AzureCloud.uaenorth,uaenorth
2603:1046:a00:44::/64,IPv6,AzureCloud.uaenorth,uaenorth
2603:1046:140a::/48,IPv6,AzureCloud.uaenorth,uaenorth
2603:1046:1500:2c::/64,IPv6,AzureCloud.uaenorth,uaenorth
2603:1046:2000:100::/59,IPv6,AzureCloud.uaenorth,uaenorth
2603:1047:1:100::/59,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:1310:4000::/54,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:1724::/48,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:2000:7e0::/62,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:2002:7000::/57,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:2004:6800::/57,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:2010:22::/64,IPv6,AzureCloud.uaenorth,uaenorth
2603:1061:2011:22::/64,IPv6,AzureCloud.uaenorth,uaenorth
2603:1062:c:a::/63,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:1b::/56,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:11d::/55,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:11d:200::/56,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:21d::/55,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:41c::/56,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:627::/56,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:72a::/56,IPv6,AzureCloud.uaenorth,uaenorth
2603:1063:1c11::/55,IPv6,AzureCloud.uaenorth,uaenorth
