ip_address,ip_type,service,region
20.40.136.192/32,IPv4,AzureConnectors.FranceCentral,centralfrance
20.40.146.5/32,IPv4,AzureConnectors.FranceCentral,centralfrance
40.79.130.208/28,IPv4,AzureConnectors.FranceCentral,centralfrance
40.79.148.96/27,IPv4,AzureConnectors.FranceCentral,centralfrance
40.89.131.3/32,IPv4,AzureConnectors.FranceCentral,centralfrance
40.89.135.2/32,IPv4,AzureConnectors.FranceCentral,centralfrance
40.89.155.59/32,IPv4,AzureConnectors.FranceCentral,centralfrance
51.11.229.148/32,IPv4,AzureConnectors.FranceCentral,centralfrance
51.11.229.156/32,IPv4,AzureConnectors.FranceCentral,centralfrance
51.138.215.48/28,IPv4,AzureConnectors.FranceCentral,centralfrance
51.138.215.64/27,IPv4,AzureConnectors.FranceCentral,centralfrance
2603:1020:805:402::180/122,IPv6,AzureConnectors.FranceCentral,centralfrance
