ip_address,ip_type,service,region
20.44.29.64/27,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.194.40.106/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.196.249.60/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.196.249.145/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.196.250.135/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.200.194.160/27,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.200.194.192/28,IPv4,AzureConnectors.KoreaCentral,koreacentral
20.200.204.248/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
52.141.1.104/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
52.141.36.214/32,IPv4,AzureConnectors.KoreaCentral,koreacentral
52.231.18.208/28,IPv4,AzureConnectors.KoreaCentral,koreacentral
2603:1040:f05:402::180/122,IPv6,AzureConnectors.KoreaCentral,koreacentral
