ip_address,ip_type,service,region
4.213.25.128/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
20.43.121.128/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
20.43.123.64/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
20.43.127.0/25,IPv4,AzureContainerRegistry.CentralIndia,centralindia
20.192.98.144/29,IPv4,AzureContainerRegistry.CentralIndia,centralindia
20.192.101.64/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
20.192.101.128/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
40.80.50.144/29,IPv4,AzureContainerRegistry.CentralIndia,centralindia
40.80.51.192/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
40.80.53.64/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
40.80.54.128/25,IPv4,AzureContainerRegistry.CentralIndia,centralindia
52.140.110.192/26,IPv4,AzureContainerRegistry.CentralIndia,centralindia
104.211.81.136/29,IPv4,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06::448/125,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:3::7c0/122,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:402::90/125,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:402::340/122,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:402::580/121,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:802::90/125,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:802::2c0/122,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:802::400/121,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:c02::90/125,IPv6,AzureContainerRegistry.CentralIndia,centralindia
2603:1040:a06:c02::400/121,IPv6,AzureContainerRegistry.CentralIndia,centralindia
