ip_address,ip_type,service,region
20.45.199.128/25,IPv4,AzureContainerRegistry.CentralUSEUAP,centraluseuap
40.78.202.72/29,IPv4,AzureContainerRegistry.CentralUSEUAP,centraluseuap
168.61.140.128/25,IPv4,AzureContainerRegistry.CentralUSEUAP,centraluseuap
168.61.141.0/25,IPv4,AzureContainerRegistry.CentralUSEUAP,centraluseuap
168.61.141.128/25,IPv4,AzureContainerRegistry.CentralUSEUAP,centraluseuap
168.61.142.192/26,IPv4,AzureContainerRegistry.CentralUSEUAP,centraluseuap
2603:1030:f:1::2a8/125,IPv6,AzureContainerRegistry.CentralUSEUAP,centraluseuap
2603:1030:f:8::580/122,IPv6,AzureContainerRegistry.CentralUSEUAP,centraluseuap
2603:1030:f:400::890/125,IPv6,AzureContainerRegistry.CentralUSEUAP,centraluseuap
2603:1030:f:400::b40/122,IPv6,AzureContainerRegistry.CentralUSEUAP,centraluseuap
2603:1030:f:400::d80/122,IPv6,AzureContainerRegistry.CentralUSEUAP,centraluseuap
2603:1030:f:400::e00/121,IPv6,AzureContainerRegistry.CentralUSEUAP,centraluseuap
