ip_address,ip_type,service,region
20.49.82.16/29,IPv4,AzureContainerRegistry.EastUSSTG,usstagee
20.49.84.64/26,IPv4,AzureContainerRegistry.EastUSSTG,usstagee
20.49.86.0/25,IPv4,AzureContainerRegistry.EastUSSTG,usstagee
20.99.8.192/26,IPv4,AzureContainerRegistry.EastUSSTG,usstagee
40.67.58.24/29,IPv4,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104::348/125,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:402::90/125,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:402::168/125,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:402::340/122,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:402::580/122,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:402::780/121,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:802::58/125,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
2603:1030:104:802::200/121,IPv6,AzureContainerRegistry.EastUSSTG,usstagee
