ip_address,ip_type,service,region
4.243.41.64/26,IPv4,AzureContainerRegistry.KoreaSouth,koreasouth
20.200.166.64/26,IPv4,AzureContainerRegistry.KoreaSouth,koreasouth
52.147.97.128/25,IPv4,AzureContainerRegistry.KoreaSouth,koreasouth
52.231.146.192/29,IPv4,AzureContainerRegistry.KoreaSouth,koreasouth
52.231.151.128/26,IPv4,AzureContainerRegistry.KoreaSouth,koreasouth
2603:1040:e05:1::450/125,IPv6,AzureContainerRegistry.KoreaSouth,koreasouth
2603:1040:e05:6::600/122,IPv6,AzureContainerRegistry.KoreaSouth,koreasouth
2603:1040:e05:402::100/122,IPv6,AzureContainerRegistry.KoreaSouth,koreasouth
2603:1040:e05:402::148/125,IPv6,AzureContainerRegistry.KoreaSouth,koreasouth
2603:1040:e05:402::200/121,IPv6,AzureContainerRegistry.KoreaSouth,koreasouth
