ip_address,ip_type,service,region
57.151.210.128/26,IPv4,AzureContainerRegistry.SoutheastUS,southeastus
68.154.136.64/26,IPv4,AzureContainerRegistry.SoutheastUS,southeastus
68.154.137.128/25,IPv4,AzureContainerRegistry.SoutheastUS,southeastus
68.154.145.64/26,IPv4,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902::560/125,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902:4::180/121,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902:4::660/123,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902:4::700/124,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902:4::710/125,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902:400::8/125,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
2603:1030:902:400::100/121,IPv6,AzureContainerRegistry.SoutheastUS,southeastus
