ip_address,ip_type,service,region
20.37.69.0/26,IPv4,AzureContainerRegistry.UAECentral,uaecentral
20.37.74.72/29,IPv4,AzureContainerRegistry.UAECentral,uaecentral
20.203.94.0/26,IPv4,AzureContainerRegistry.UAECentral,uaecentral
40.120.8.64/26,IPv4,AzureContainerRegistry.UAECentral,uaecentral
40.120.9.0/26,IPv4,AzureContainerRegistry.UAECentral,uaecentral
74.243.18.64/26,IPv4,AzureContainerRegistry.UAECentral,uaecentral
74.243.20.0/25,IPv4,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:1::4b0/125,IPv6,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:5::540/122,IPv6,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:402::90/125,IPv6,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:402::340/122,IPv6,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:402::580/122,IPv6,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:800::8/125,IPv6,AzureContainerRegistry.UAECentral,uaecentral
2603:1040:b04:800::80/121,IPv6,AzureContainerRegistry.UAECentral,uaecentral
