ip_address,ip_type,service,region
20.39.168.21/32,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
20.200.163.64/26,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
20.200.164.192/26,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
20.200.165.0/25,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
40.80.173.0/27,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
40.80.235.125/32,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
40.80.236.159/32,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
52.231.146.0/27,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
52.231.206.234/32,IPv4,AzureCosmosDB.KoreaSouth,koreasouth
2603:1040:e05:5::80/123,IPv6,AzureCosmosDB.KoreaSouth,koreasouth
