ip_address,ip_type,service,region
20.26.21.128/26,IPv4,AzureCosmosDB.UKSouth,uksouth
51.11.169.104/32,IPv4,AzureCosmosDB.UKSouth,uksouth
51.104.31.128/27,IPv4,AzureCosmosDB.UKSouth,uksouth
51.105.10.109/32,IPv4,AzureCosmosDB.UKSouth,uksouth
51.105.10.136/32,IPv4,AzureCosmosDB.UKSouth,uksouth
51.105.66.0/26,IPv4,AzureCosmosDB.UKSouth,uksouth
51.105.74.0/26,IPv4,AzureCosmosDB.UKSouth,uksouth
51.140.99.233/32,IPv4,AzureCosmosDB.UKSouth,uksouth
51.140.146.0/27,IPv4,AzureCosmosDB.UKSouth,uksouth
172.167.232.0/25,IPv4,AzureCosmosDB.UKSouth,uksouth
172.167.232.128/26,IPv4,AzureCosmosDB.UKSouth,uksouth
2603:1020:705:402::c0/122,IPv6,AzureCosmosDB.UKSouth,uksouth
2603:1020:705:802::c0/122,IPv6,AzureCosmosDB.UKSouth,uksouth
2603:1020:705:c02::c0/122,IPv6,AzureCosmosDB.UKSouth,uksouth
