ip_address,ip_type,service,region
13.66.138.0/26,IPv4,AzureCosmosDB.WestUS2,westus2
13.66.152.164/32,IPv4,AzureCosmosDB.WestUS2,westus2
13.66.166.89/32,IPv4,AzureCosmosDB.WestUS2,westus2
20.9.156.128/26,IPv4,AzureCosmosDB.WestUS2,westus2
20.36.26.132/32,IPv4,AzureCosmosDB.WestUS2,westus2
20.42.169.192/26,IPv4,AzureCosmosDB.WestUS2,westus2
20.42.170.128/25,IPv4,AzureCosmosDB.WestUS2,westus2
40.64.135.0/27,IPv4,AzureCosmosDB.WestUS2,westus2
40.78.243.192/26,IPv4,AzureCosmosDB.WestUS2,westus2
40.78.250.0/26,IPv4,AzureCosmosDB.WestUS2,westus2
40.91.122.69/32,IPv4,AzureCosmosDB.WestUS2,westus2
52.143.72.208/32,IPv4,AzureCosmosDB.WestUS2,westus2
52.143.85.231/32,IPv4,AzureCosmosDB.WestUS2,westus2
52.183.42.252/32,IPv4,AzureCosmosDB.WestUS2,westus2
52.183.119.101/32,IPv4,AzureCosmosDB.WestUS2,westus2
2603:1030:c06:c::2c0/122,IPv6,AzureCosmosDB.WestUS2,westus2
2603:1030:c06:400::8c0/122,IPv6,AzureCosmosDB.WestUS2,westus2
2603:1030:c06:802::c0/122,IPv6,AzureCosmosDB.WestUS2,westus2
2603:1030:c06:c02::c0/122,IPv6,AzureCosmosDB.WestUS2,westus2
