ip_address,ip_type,service,region
20.119.199.45/32,IPv4,AzureDataLake,
20.122.64.76/32,IPv4,AzureDataLake,
40.90.138.133/32,IPv4,AzureDataLake,
40.90.138.136/32,IPv4,AzureDataLake,
40.90.141.128/29,IPv4,AzureDataLake,
40.90.141.167/32,IPv4,AzureDataLake,
40.90.145.192/26,IPv4,AzureDataLake,
65.52.108.31/32,IPv4,AzureDataLake,
65.52.108.38/32,IPv4,AzureDataLake,
104.44.88.66/31,IPv4,AzureDataLake,
104.44.88.106/31,IPv4,AzureDataLake,
104.44.88.112/31,IPv4,AzureDataLake,
104.44.88.176/31,IPv4,AzureDataLake,
104.44.88.184/29,IPv4,AzureDataLake,
104.44.89.39/32,IPv4,AzureDataLake,
104.44.89.42/32,IPv4,AzureDataLake,
104.44.90.128/27,IPv4,AzureDataLake,
104.44.90.194/31,IPv4,AzureDataLake,
104.44.91.160/27,IPv4,AzureDataLake,
