ip_address,ip_type,service,region
13.69.71.144/28,IPv4,AzureDevSpaces,
13.70.78.176/28,IPv4,AzureDevSpaces,
13.71.175.112/28,IPv4,AzureDevSpaces,
13.71.199.96/28,IPv4,AzureDevSpaces,
13.73.244.128/28,IPv4,AzureDevSpaces,
13.74.111.128/28,IPv4,AzureDevSpaces,
13.78.111.144/28,IPv4,AzureDevSpaces,
13.86.221.224/28,IPv4,AzureDevSpaces,
20.37.157.64/28,IPv4,AzureDevSpaces,
20.37.195.80/28,IPv4,AzureDevSpaces,
20.38.85.128/28,IPv4,AzureDevSpaces,
20.39.11.64/28,IPv4,AzureDevSpaces,
20.41.5.128/28,IPv4,AzureDevSpaces,
20.42.6.32/27,IPv4,AzureDevSpaces,
20.42.6.128/28,IPv4,AzureDevSpaces,
20.42.64.64/26,IPv4,AzureDevSpaces,
20.42.131.192/27,IPv4,AzureDevSpaces,
20.42.230.64/28,IPv4,AzureDevSpaces,
20.43.65.208/28,IPv4,AzureDevSpaces,
20.43.130.240/28,IPv4,AzureDevSpaces,
20.189.108.32/28,IPv4,AzureDevSpaces,
40.69.110.176/28,IPv4,AzureDevSpaces,
40.70.151.80/28,IPv4,AzureDevSpaces,
40.74.30.144/28,IPv4,AzureDevSpaces,
40.75.35.224/28,IPv4,AzureDevSpaces,
40.78.239.0/28,IPv4,AzureDevSpaces,
40.78.251.224/27,IPv4,AzureDevSpaces,
40.82.253.112/28,IPv4,AzureDevSpaces,
40.89.17.192/28,IPv4,AzureDevSpaces,
40.119.9.240/28,IPv4,AzureDevSpaces,
51.104.25.208/28,IPv4,AzureDevSpaces,
51.105.77.64/28,IPv4,AzureDevSpaces,
52.150.139.144/28,IPv4,AzureDevSpaces,
52.182.141.128/28,IPv4,AzureDevSpaces,
52.228.81.224/28,IPv4,AzureDevSpaces,
104.214.161.48/28,IPv4,AzureDevSpaces,
