ip_address,ip_type,service,region
20.49.248.209/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.56/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.78/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.101/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.106/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.156/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.189/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.208/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.249.236/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
20.49.250.2/32,IPv4,AzureDigitalTwins.UKSouth,uksouth
51.143.208.208/29,IPv4,AzureDigitalTwins.UKSouth,uksouth
51.143.208.224/27,IPv4,AzureDigitalTwins.UKSouth,uksouth
85.210.110.78/31,IPv4,AzureDigitalTwins.UKSouth,uksouth
172.187.101.136/29,IPv4,AzureDigitalTwins.UKSouth,uksouth
172.187.101.186/31,IPv4,AzureDigitalTwins.UKSouth,uksouth
172.187.102.16/29,IPv4,AzureDigitalTwins.UKSouth,uksouth
2603:1020:705:8::2a0/126,IPv6,AzureDigitalTwins.UKSouth,uksouth
