ip_address,ip_type,service,region
20.50.211.192/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.212.99/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.212.103/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.212.140/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.213.6/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.213.76/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.213.88/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.213.93/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.213.94/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.50.213.120/32,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.61.98.144/29,IPv4,AzureDigitalTwins.WestEurope,westeurope
20.61.99.0/27,IPv4,AzureDigitalTwins.WestEurope,westeurope
57.153.238.96/27,IPv4,AzureDigitalTwins.WestEurope,westeurope
172.211.126.88/29,IPv4,AzureDigitalTwins.WestEurope,westeurope
2603:1020:206:10::118/126,IPv6,AzureDigitalTwins.WestEurope,westeurope
