ip_address,ip_type,service,region
4.190.144.224/27,IPv4,AzureIoTHub.JapanWest,japanwest
20.18.179.160/27,IPv4,AzureIoTHub.JapanWest,japanwest
23.100.105.192/32,IPv4,AzureIoTHub.JapanWest,japanwest
40.74.66.139/32,IPv4,AzureIoTHub.JapanWest,japanwest
40.74.125.44/32,IPv4,AzureIoTHub.JapanWest,japanwest
40.80.62.64/27,IPv4,AzureIoTHub.JapanWest,japanwest
40.80.62.128/25,IPv4,AzureIoTHub.JapanWest,japanwest
40.80.176.64/27,IPv4,AzureIoTHub.JapanWest,japanwest
2603:1040:606:402::300/123,IPv6,AzureIoTHub.JapanWest,japanwest
2603:1040:606:800::120/123,IPv6,AzureIoTHub.JapanWest,japanwest
2603:1040:606:c00::c0/123,IPv6,AzureIoTHub.JapanWest,japanwest
