ip_address,ip_type,service,region
20.49.113.32/27,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
20.49.113.128/25,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
20.125.171.160/27,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
20.125.203.160/27,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
23.96.222.45/32,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
23.96.223.89/32,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
52.162.111.64/27,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
157.55.253.43/32,IPv4,AzureIoTHub.NorthCentralUS,northcentralus
2603:1030:608:402::300/123,IPv6,AzureIoTHub.NorthCentralUS,northcentralus
2603:1030:608:800::e0/123,IPv6,AzureIoTHub.NorthCentralUS,northcentralus
2603:1030:608:c00::e0/123,IPv6,AzureIoTHub.NorthCentralUS,northcentralus
