ip_address,ip_type,service,region
20.44.29.112/30,IPv4,AzureKeyVault.KoreaCentral,koreacentral
20.194.66.0/30,IPv4,AzureKeyVault.KoreaCentral,koreacentral
20.194.74.80/29,IPv4,AzureKeyVault.KoreaCentral,koreacentral
20.194.74.88/30,IPv4,AzureKeyVault.KoreaCentral,koreacentral
52.231.18.40/30,IPv4,AzureKeyVault.KoreaCentral,koreacentral
2603:1040:f05::340/125,IPv6,AzureKeyVault.KoreaCentral,koreacentral
2603:1040:f05:1::100/125,IPv6,AzureKeyVault.KoreaCentral,koreacentral
2603:1040:f05:1::108/126,IPv6,AzureKeyVault.KoreaCentral,koreacentral
2603:1040:f05:402::80/125,IPv6,AzureKeyVault.KoreaCentral,koreacentral
2603:1040:f05:802::80/125,IPv6,AzureKeyVault.KoreaCentral,koreacentral
2603:1040:f05:c02::80/125,IPv6,AzureKeyVault.KoreaCentral,koreacentral
