ip_address,ip_type,service,region
51.120.98.8/30,IPv4,AzureKeyVault.NorwayEast,norwaye
51.120.110.192/30,IPv4,AzureKeyVault.NorwayEast,norwaye
51.120.214.128/30,IPv4,AzureKeyVault.NorwayEast,norwaye
51.120.233.132/30,IPv4,AzureKeyVault.NorwayEast,norwaye
51.120.234.128/29,IPv4,AzureKeyVault.NorwayEast,norwaye
2603:1020:e04::340/125,IPv6,AzureKeyVault.NorwayEast,norwaye
2603:1020:e04:1::104/126,IPv6,AzureKeyVault.NorwayEast,norwaye
2603:1020:e04:1::108/125,IPv6,AzureKeyVault.NorwayEast,norwaye
2603:1020:e04:402::80/125,IPv6,AzureKeyVault.NorwayEast,norwaye
2603:1020:e04:802::80/125,IPv6,AzureKeyVault.NorwayEast,norwaye
2603:1020:e04:c02::80/125,IPv6,AzureKeyVault.NorwayEast,norwaye
