ip_address,ip_type,service,region
20.42.0.240/28,IPv4,AzureMachineLearning.EastUS,eastus
20.62.135.208/28,IPv4,AzureMachineLearning.EastUS,eastus
40.71.11.64/28,IPv4,AzureMachineLearning.EastUS,eastus
40.78.227.32/28,IPv4,AzureMachineLearning.EastUS,eastus
40.79.154.64/28,IPv4,AzureMachineLearning.EastUS,eastus
48.206.203.243/32,IPv4,AzureMachineLearning.EastUS,eastus
48.206.204.146/31,IPv4,AzureMachineLearning.EastUS,eastus
48.206.204.148/30,IPv4,AzureMachineLearning.EastUS,eastus
48.206.204.160/27,IPv4,AzureMachineLearning.EastUS,eastus
48.206.204.192/28,IPv4,AzureMachineLearning.EastUS,eastus
48.211.42.128/27,IPv4,AzureMachineLearning.EastUS,eastus
48.211.42.160/28,IPv4,AzureMachineLearning.EastUS,eastus
52.255.214.109/32,IPv4,AzureMachineLearning.EastUS,eastus
52.255.217.127/32,IPv4,AzureMachineLearning.EastUS,eastus
2603:1030:210:1::2c0/122,IPv6,AzureMachineLearning.EastUS,eastus
2603:1030:210:2e::45e/127,IPv6,AzureMachineLearning.EastUS,eastus
2603:1030:210:2e::7b0/124,IPv6,AzureMachineLearning.EastUS,eastus
2603:1030:210:2e::7c0/123,IPv6,AzureMachineLearning.EastUS,eastus
2603:1030:210:2e::7e0/126,IPv6,AzureMachineLearning.EastUS,eastus
2603:1030:210:2e::7e4/128,IPv6,AzureMachineLearning.EastUS,eastus
