ip_address,ip_type,service,region
20.51.1.48/28,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
20.66.135.97/32,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
20.66.135.98/31,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
20.66.135.100/30,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
20.66.135.112/28,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
20.66.135.128/27,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
23.100.232.216/32,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
40.80.184.80/28,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
40.80.188.96/28,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
52.162.106.176/28,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
52.252.160.26/32,IPv4,AzureMachineLearning.NorthCentralUS,northcentralus
2603:1030:608::300/122,IPv6,AzureMachineLearning.NorthCentralUS,northcentralus
2603:1030:608:14::619/128,IPv6,AzureMachineLearning.NorthCentralUS,northcentralus
2603:1030:608:14::798/126,IPv6,AzureMachineLearning.NorthCentralUS,northcentralus
2603:1030:608:14::79c/127,IPv6,AzureMachineLearning.NorthCentralUS,northcentralus
2603:1030:608:14::7a0/123,IPv6,AzureMachineLearning.NorthCentralUS,northcentralus
2603:1030:608:14::7c0/124,IPv6,AzureMachineLearning.NorthCentralUS,northcentralus
