ip_address,ip_type,service,region
4.166.32.99/32,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
4.166.33.222/31,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
4.166.35.64/27,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
4.166.35.96/28,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
4.166.35.112/30,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
51.12.29.0/28,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
51.12.29.64/27,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
51.12.47.32/28,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
51.12.99.80/28,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
51.12.227.64/28,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
51.12.235.64/28,IPv4,AzureMachineLearning.SwedenCentral,swedencentral
2603:1020:1004::2c0/122,IPv6,AzureMachineLearning.SwedenCentral,swedencentral
2603:1020:1004:d::3d8/126,IPv6,AzureMachineLearning.SwedenCentral,swedencentral
2603:1020:1004:d::3dc/127,IPv6,AzureMachineLearning.SwedenCentral,swedencentral
2603:1020:1004:d::3de/128,IPv6,AzureMachineLearning.SwedenCentral,swedencentral
2603:1020:1004:d::3e0/123,IPv6,AzureMachineLearning.SwedenCentral,swedencentral
2603:1020:1004:d::500/124,IPv6,AzureMachineLearning.SwedenCentral,swedencentral
