ip_address,ip_type,service,region
68.210.30.192/28,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.59.224/27,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.60.16/28,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.60.32/27,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.154.184/29,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.156.48/28,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.172.150/31,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.172.188/30,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.173.168/29,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.174.192/26,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.179.92/30,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.194.136/29,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.194.240/28,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.210.136/29,IPv4,AzureMonitor.AustriaEast,austriaeast
68.210.210.240/28,IPv4,AzureMonitor.AustriaEast,austriaeast
2603:1020:100:11::e/127,IPv6,AzureMonitor.AustriaEast,austriaeast
2603:1020:104:3::1a0/123,IPv6,AzureMonitor.AustriaEast,austriaeast
2603:1020:104:3::300/122,IPv6,AzureMonitor.AustriaEast,austriaeast
2603:1020:104:3::340/123,IPv6,AzureMonitor.AustriaEast,austriaeast
2603:1020:104:3::380/121,IPv6,AzureMonitor.AustriaEast,austriaeast
2603:1020:104:3::400/121,IPv6,AzureMonitor.AustriaEast,austriaeast
2603:1020:104:7::3c0/123,IPv6,AzureMonitor.AustriaEast,austriaeast
