ip_address,ip_type,service,region
13.82.100.176/32,IPv4,AzureMonitor.EastUS,eastus
13.82.184.151/32,IPv4,AzureMonitor.EastUS,eastus
13.90.93.206/32,IPv4,AzureMonitor.EastUS,eastus
13.90.248.141/32,IPv4,AzureMonitor.EastUS,eastus
13.90.249.229/32,IPv4,AzureMonitor.EastUS,eastus
13.90.251.123/32,IPv4,AzureMonitor.EastUS,eastus
13.92.40.198/32,IPv4,AzureMonitor.EastUS,eastus
13.92.40.223/32,IPv4,AzureMonitor.EastUS,eastus
13.92.138.16/32,IPv4,AzureMonitor.EastUS,eastus
13.92.179.52/32,IPv4,AzureMonitor.EastUS,eastus
13.92.211.249/32,IPv4,AzureMonitor.EastUS,eastus
13.92.232.146/32,IPv4,AzureMonitor.EastUS,eastus
13.92.254.218/32,IPv4,AzureMonitor.EastUS,eastus
13.92.255.146/32,IPv4,AzureMonitor.EastUS,eastus
20.42.0.68/31,IPv4,AzureMonitor.EastUS,eastus
20.42.65.72/29,IPv4,AzureMonitor.EastUS,eastus
20.42.65.128/25,IPv4,AzureMonitor.EastUS,eastus
20.42.73.16/29,IPv4,AzureMonitor.EastUS,eastus
20.42.73.128/25,IPv4,AzureMonitor.EastUS,eastus
20.49.109.46/31,IPv4,AzureMonitor.EastUS,eastus
20.49.109.80/28,IPv4,AzureMonitor.EastUS,eastus
20.49.111.16/28,IPv4,AzureMonitor.EastUS,eastus
20.49.111.32/28,IPv4,AzureMonitor.EastUS,eastus
20.62.132.0/25,IPv4,AzureMonitor.EastUS,eastus
23.96.28.38/32,IPv4,AzureMonitor.EastUS,eastus
40.71.12.224/28,IPv4,AzureMonitor.EastUS,eastus
40.71.12.240/30,IPv4,AzureMonitor.EastUS,eastus
40.71.12.248/29,IPv4,AzureMonitor.EastUS,eastus
40.71.13.168/29,IPv4,AzureMonitor.EastUS,eastus
40.71.14.112/30,IPv4,AzureMonitor.EastUS,eastus
40.71.183.225/32,IPv4,AzureMonitor.EastUS,eastus
40.76.29.55/32,IPv4,AzureMonitor.EastUS,eastus
40.76.53.225/32,IPv4,AzureMonitor.EastUS,eastus
40.78.226.216/29,IPv4,AzureMonitor.EastUS,eastus
40.78.229.32/29,IPv4,AzureMonitor.EastUS,eastus
40.79.154.80/29,IPv4,AzureMonitor.EastUS,eastus
40.79.156.32/29,IPv4,AzureMonitor.EastUS,eastus
40.85.180.90/32,IPv4,AzureMonitor.EastUS,eastus
40.87.67.118/32,IPv4,AzureMonitor.EastUS,eastus
40.112.49.101/32,IPv4,AzureMonitor.EastUS,eastus
40.117.80.207/32,IPv4,AzureMonitor.EastUS,eastus
40.117.95.162/32,IPv4,AzureMonitor.EastUS,eastus
40.117.147.74/32,IPv4,AzureMonitor.EastUS,eastus
40.117.190.239/32,IPv4,AzureMonitor.EastUS,eastus
40.117.197.224/32,IPv4,AzureMonitor.EastUS,eastus
40.121.57.2/32,IPv4,AzureMonitor.EastUS,eastus
