ip_address,ip_type,service,region
13.68.31.237/32,IPv4,AzureMonitor.EastUS2,eastus2
13.68.101.211/32,IPv4,AzureMonitor.EastUS2,eastus2
13.68.106.77/32,IPv4,AzureMonitor.EastUS2,eastus2
13.68.109.212/32,IPv4,AzureMonitor.EastUS2,eastus2
13.68.111.247/32,IPv4,AzureMonitor.EastUS2,eastus2
20.15.8.128/28,IPv4,AzureMonitor.EastUS2,eastus2
20.36.144.166/31,IPv4,AzureMonitor.EastUS2,eastus2
20.36.150.0/29,IPv4,AzureMonitor.EastUS2,eastus2
20.41.49.208/32,IPv4,AzureMonitor.EastUS2,eastus2
20.44.16.0/29,IPv4,AzureMonitor.EastUS2,eastus2
20.44.17.0/29,IPv4,AzureMonitor.EastUS2,eastus2
20.44.73.196/32,IPv4,AzureMonitor.EastUS2,eastus2
20.49.99.44/31,IPv4,AzureMonitor.EastUS2,eastus2
20.49.99.64/28,IPv4,AzureMonitor.EastUS2,eastus2
20.49.102.24/29,IPv4,AzureMonitor.EastUS2,eastus2
20.49.102.32/28,IPv4,AzureMonitor.EastUS2,eastus2
20.65.1.64/28,IPv4,AzureMonitor.EastUS2,eastus2
20.98.192.0/27,IPv4,AzureMonitor.EastUS2,eastus2
20.161.204.0/24,IPv4,AzureMonitor.EastUS2,eastus2
40.70.23.205/32,IPv4,AzureMonitor.EastUS2,eastus2
40.70.148.0/30,IPv4,AzureMonitor.EastUS2,eastus2
40.70.148.8/29,IPv4,AzureMonitor.EastUS2,eastus2
40.70.151.208/31,IPv4,AzureMonitor.EastUS2,eastus2
40.84.77.192/27,IPv4,AzureMonitor.EastUS2,eastus2
40.84.79.0/26,IPv4,AzureMonitor.EastUS2,eastus2
52.167.106.88/29,IPv4,AzureMonitor.EastUS2,eastus2
52.167.107.64/29,IPv4,AzureMonitor.EastUS2,eastus2
52.167.109.72/29,IPv4,AzureMonitor.EastUS2,eastus2
52.167.145.160/29,IPv4,AzureMonitor.EastUS2,eastus2
52.167.145.176/28,IPv4,AzureMonitor.EastUS2,eastus2
52.167.221.184/32,IPv4,AzureMonitor.EastUS2,eastus2
52.177.223.60/32,IPv4,AzureMonitor.EastUS2,eastus2
52.179.192.178/32,IPv4,AzureMonitor.EastUS2,eastus2
52.179.200.136/29,IPv4,AzureMonitor.EastUS2,eastus2
52.184.158.205/32,IPv4,AzureMonitor.EastUS2,eastus2
104.46.123.164/32,IPv4,AzureMonitor.EastUS2,eastus2
104.208.144.88/29,IPv4,AzureMonitor.EastUS2,eastus2
104.208.170.144/28,IPv4,AzureMonitor.EastUS2,eastus2
104.208.170.160/28,IPv4,AzureMonitor.EastUS2,eastus2
