ip_address,ip_type,service,region
4.232.52.64/27,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.54.0/26,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.98.110/31,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.98.164/30,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.101.64/29,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.101.96/27,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.101.128/27,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.111.64/29,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.111.80/28,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.123.200/29,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.125.160/28,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.195.200/29,IPv4,AzureMonitor.ItalyNorth,italynorth
4.232.197.160/28,IPv4,AzureMonitor.ItalyNorth,italynorth
9.235.22.224/27,IPv4,AzureMonitor.ItalyNorth,italynorth
9.235.23.0/28,IPv4,AzureMonitor.ItalyNorth,italynorth
9.235.70.80/28,IPv4,AzureMonitor.ItalyNorth,italynorth
9.235.170.208/28,IPv4,AzureMonitor.ItalyNorth,italynorth
9.235.171.24/29,IPv4,AzureMonitor.ItalyNorth,italynorth
9.235.171.32/28,IPv4,AzureMonitor.ItalyNorth,italynorth
2603:1020:1200:4::10/128,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1200:4::12/128,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:2::1e0/123,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:2::2c0/122,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:2::380/123,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:2::400/120,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:3::5a0/123,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:3::5c0/122,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:7::130/124,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:7::500/120,IPv6,AzureMonitor.ItalyNorth,italynorth
2603:1020:1204:7::620/123,IPv6,AzureMonitor.ItalyNorth,italynorth
