ip_address,ip_type,service,region
4.165.111.96/28,IPv4,AzureMonitor.SwedenCentral,swedencentral
4.223.182.144/28,IPv4,AzureMonitor.SwedenCentral,swedencentral
20.91.146.64/27,IPv4,AzureMonitor.SwedenCentral,swedencentral
20.91.146.112/28,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.25.56/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.25.192/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.25.200/30,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.46.0/27,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.73.94/31,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.99.72/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.102.192/27,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.102.224/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.102.240/28,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.226.152/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.229.224/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.229.248/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.234.152/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.237.32/27,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.237.192/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
51.12.238.160/29,IPv4,AzureMonitor.SwedenCentral,swedencentral
135.116.174.224/27,IPv4,AzureMonitor.SwedenCentral,swedencentral
135.116.175.0/26,IPv4,AzureMonitor.SwedenCentral,swedencentral
135.225.42.192/26,IPv4,AzureMonitor.SwedenCentral,swedencentral
172.160.223.224/27,IPv4,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1001:6::1/128,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004::280/122,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:1::380/121,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:2::f0/126,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:2::180/121,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:3::300/121,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:6::c0/123,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:6::100/122,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:c::110/124,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:c::700/120,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:d::80/123,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:400::420/123,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:400::4a0/123,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:400::580/121,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:800::500/121,IPv6,AzureMonitor.SwedenCentral,swedencentral
2603:1020:1004:c02::100/121,IPv6,AzureMonitor.SwedenCentral,swedencentral
