ip_address,ip_type,service,region
13.66.141.32/27,IPv4,BatchNodeManagement.WestUS2,westus2
13.66.225.240/32,IPv4,BatchNodeManagement.WestUS2,westus2
13.66.227.117/32,IPv4,BatchNodeManagement.WestUS2,westus2
13.66.227.193/32,IPv4,BatchNodeManagement.WestUS2,westus2
40.64.128.160/27,IPv4,BatchNodeManagement.WestUS2,westus2
40.78.242.224/27,IPv4,BatchNodeManagement.WestUS2,westus2
40.78.250.160/27,IPv4,BatchNodeManagement.WestUS2,westus2
52.137.105.46/32,IPv4,BatchNodeManagement.WestUS2,westus2
52.148.148.46/32,IPv4,BatchNodeManagement.WestUS2,westus2
52.175.218.150/32,IPv4,BatchNodeManagement.WestUS2,westus2
52.191.129.21/32,IPv4,BatchNodeManagement.WestUS2,westus2
52.191.166.57/32,IPv4,BatchNodeManagement.WestUS2,westus2
2603:1030:c06:1::340/122,IPv6,BatchNodeManagement.WestUS2,westus2
