ip_address,ip_type,service,region
13.77.53.160/28,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
20.42.225.0/25,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
20.42.225.128/26,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
20.42.230.136/29,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
20.92.6.200/29,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
68.218.182.160/27,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
104.46.179.64/26,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
104.46.182.0/24,IPv4,DataFactory.AustraliaSoutheast,australiasoutheast
2603:1010:101::440/122,IPv6,DataFactory.AustraliaSoutheast,australiasoutheast
2603:1010:101::500/121,IPv6,DataFactory.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::330/124,IPv6,DataFactory.AustraliaSoutheast,australiasoutheast
