ip_address,ip_type,service,region
68.210.28.0/27,IPv4,DataFactory.AustriaEast,austriaeast
68.210.154.208/28,IPv4,DataFactory.AustriaEast,austriaeast
68.210.176.0/23,IPv4,DataFactory.AustriaEast,austriaeast
68.210.183.240/28,IPv4,DataFactory.AustriaEast,austriaeast
68.210.194.224/28,IPv4,DataFactory.AustriaEast,austriaeast
68.210.210.224/28,IPv4,DataFactory.AustriaEast,austriaeast
2603:1020:104:3::80/121,IPv6,DataFactory.AustriaEast,austriaeast
2603:1020:104:6::340/124,IPv6,DataFactory.AustriaEast,austriaeast
2603:1020:104:7::1a8/125,IPv6,DataFactory.AustriaEast,austriaeast
2603:1020:104:403::50/124,IPv6,DataFactory.AustriaEast,austriaeast
2603:1020:104:800::320/124,IPv6,DataFactory.AustriaEast,austriaeast
2603:1020:104:c00::50/124,IPv6,DataFactory.AustriaEast,austriaeast
