ip_address,ip_type,service,region
172.204.168.0/23,IPv4,DataFactory.NewZealandNorth,newzealandnorth
172.204.170.208/28,IPv4,DataFactory.NewZealandNorth,newzealandnorth
172.204.171.64/26,IPv4,DataFactory.NewZealandNorth,newzealandnorth
172.204.171.128/25,IPv4,DataFactory.NewZealandNorth,newzealandnorth
172.204.182.48/28,IPv4,DataFactory.NewZealandNorth,newzealandnorth
172.204.194.176/28,IPv4,DataFactory.NewZealandNorth,newzealandnorth
172.204.210.176/28,IPv4,DataFactory.NewZealandNorth,newzealandnorth
2603:1010:502:2::380/121,IPv6,DataFactory.NewZealandNorth,newzealandnorth
2603:1010:502:400::2c0/124,IPv6,DataFactory.NewZealandNorth,newzealandnorth
2603:1010:502:800::70/124,IPv6,DataFactory.NewZealandNorth,newzealandnorth
2603:1010:502:c00::70/124,IPv6,DataFactory.NewZealandNorth,newzealandnorth
