ip_address,ip_type,service,region
20.41.192.128/25,IPv4,DataFactory.SouthIndia,southindia
20.41.193.0/26,IPv4,DataFactory.SouthIndia,southindia
20.41.197.112/29,IPv4,DataFactory.SouthIndia,southindia
20.41.198.0/25,IPv4,DataFactory.SouthIndia,southindia
20.41.198.128/26,IPv4,DataFactory.SouthIndia,southindia
20.192.152.0/26,IPv4,DataFactory.SouthIndia,southindia
20.192.184.96/28,IPv4,DataFactory.SouthIndia,southindia
40.78.196.128/28,IPv4,DataFactory.SouthIndia,southindia
52.172.81.240/29,IPv4,DataFactory.SouthIndia,southindia
74.224.33.160/27,IPv4,DataFactory.SouthIndia,southindia
2603:1040:c06::440/122,IPv6,DataFactory.SouthIndia,southindia
2603:1040:c06::500/121,IPv6,DataFactory.SouthIndia,southindia
2603:1040:c06:402::330/124,IPv6,DataFactory.SouthIndia,southindia
