ip_address,ip_type,service,region
20.58.71.0/26,IPv4,DataFactory.UKWest,ukwest
20.90.38.248/29,IPv4,DataFactory.UKWest,ukwest
51.137.160.128/25,IPv4,DataFactory.UKWest,ukwest
51.137.161.0/26,IPv4,DataFactory.UKWest,ukwest
51.137.164.192/29,IPv4,DataFactory.UKWest,ukwest
51.140.212.112/28,IPv4,DataFactory.UKWest,ukwest
172.186.7.128/27,IPv4,DataFactory.UKWest,ukwest
2603:1020:605::440/122,IPv6,DataFactory.UKWest,ukwest
2603:1020:605::500/121,IPv6,DataFactory.UKWest,ukwest
2603:1020:605:402::330/124,IPv6,DataFactory.UKWest,ukwest
