ip_address,ip_type,service,region
13.90.208.184/32,IPv4,EventHub.EastUS,eastus
13.92.124.151/32,IPv4,EventHub.EastUS,eastus
13.92.180.208/32,IPv4,EventHub.EastUS,eastus
13.92.190.184/32,IPv4,EventHub.EastUS,eastus
20.42.68.64/26,IPv4,EventHub.EastUS,eastus
20.42.74.0/26,IPv4,EventHub.EastUS,eastus
20.88.153.0/26,IPv4,EventHub.EastUS,eastus
40.71.10.128/26,IPv4,EventHub.EastUS,eastus
40.76.40.11/32,IPv4,EventHub.EastUS,eastus
40.76.194.119/32,IPv4,EventHub.EastUS,eastus
40.78.226.128/26,IPv4,EventHub.EastUS,eastus
40.79.155.0/26,IPv4,EventHub.EastUS,eastus
40.117.88.66/32,IPv4,EventHub.EastUS,eastus
40.121.84.50/32,IPv4,EventHub.EastUS,eastus
40.121.141.232/32,IPv4,EventHub.EastUS,eastus
40.121.148.193/32,IPv4,EventHub.EastUS,eastus
52.168.14.144/32,IPv4,EventHub.EastUS,eastus
52.168.66.180/32,IPv4,EventHub.EastUS,eastus
52.168.117.0/26,IPv4,EventHub.EastUS,eastus
52.168.146.69/32,IPv4,EventHub.EastUS,eastus
52.168.147.11/32,IPv4,EventHub.EastUS,eastus
52.179.6.240/32,IPv4,EventHub.EastUS,eastus
52.179.8.35/32,IPv4,EventHub.EastUS,eastus
52.191.45.0/24,IPv4,EventHub.EastUS,eastus
52.191.213.188/32,IPv4,EventHub.EastUS,eastus
52.191.228.245/32,IPv4,EventHub.EastUS,eastus
52.226.36.235/32,IPv4,EventHub.EastUS,eastus
104.45.135.34/32,IPv4,EventHub.EastUS,eastus
104.45.147.24/32,IPv4,EventHub.EastUS,eastus
137.117.85.236/32,IPv4,EventHub.EastUS,eastus
137.117.89.253/32,IPv4,EventHub.EastUS,eastus
137.117.91.152/32,IPv4,EventHub.EastUS,eastus
137.135.102.226/32,IPv4,EventHub.EastUS,eastus
168.62.52.235/32,IPv4,EventHub.EastUS,eastus
172.191.248.0/24,IPv4,EventHub.EastUS,eastus
191.236.32.73/32,IPv4,EventHub.EastUS,eastus
191.236.32.191/32,IPv4,EventHub.EastUS,eastus
191.236.35.225/32,IPv4,EventHub.EastUS,eastus
191.237.47.93/32,IPv4,EventHub.EastUS,eastus
2603:1030:210:1::240/122,IPv6,EventHub.EastUS,eastus
2603:1030:210:c::200/119,IPv6,EventHub.EastUS,eastus
2603:1030:210:d::708/125,IPv6,EventHub.EastUS,eastus
2603:1030:210:d::720/123,IPv6,EventHub.EastUS,eastus
2603:1030:210:d::740/126,IPv6,EventHub.EastUS,eastus
2603:1030:210:e::/120,IPv6,EventHub.EastUS,eastus
2603:1030:210:e::100/123,IPv6,EventHub.EastUS,eastus
2603:1030:210:e::120/125,IPv6,EventHub.EastUS,eastus
2603:1030:210:e::128/126,IPv6,EventHub.EastUS,eastus
2603:1030:210:e::200/120,IPv6,EventHub.EastUS,eastus
2603:1030:210:402::1c0/123,IPv6,EventHub.EastUS,eastus
2603:1030:210:802::160/123,IPv6,EventHub.EastUS,eastus
2603:1030:210:c02::160/123,IPv6,EventHub.EastUS,eastus
2603:10e1:100:2::34bf:e4f5/128,IPv6,EventHub.EastUS,eastus
