ip_address,ip_type,service,region
20.51.3.0/24,IPv4,EventHub.NorthCentralUS,northcentralus
20.125.171.64/26,IPv4,EventHub.NorthCentralUS,northcentralus
20.125.203.64/26,IPv4,EventHub.NorthCentralUS,northcentralus
23.96.214.181/32,IPv4,EventHub.NorthCentralUS,northcentralus
52.162.106.64/26,IPv4,EventHub.NorthCentralUS,northcentralus
52.237.143.176/32,IPv4,EventHub.NorthCentralUS,northcentralus
168.62.234.250/32,IPv4,EventHub.NorthCentralUS,northcentralus
168.62.237.3/32,IPv4,EventHub.NorthCentralUS,northcentralus
168.62.249.226/32,IPv4,EventHub.NorthCentralUS,northcentralus
191.236.128.253/32,IPv4,EventHub.NorthCentralUS,northcentralus
191.236.129.107/32,IPv4,EventHub.NorthCentralUS,northcentralus
2603:1030:608::240/122,IPv6,EventHub.NorthCentralUS,northcentralus
2603:1030:608:1::600/120,IPv6,EventHub.NorthCentralUS,northcentralus
2603:1030:608:402::1c0/123,IPv6,EventHub.NorthCentralUS,northcentralus
