ip_address,ip_type,service,region
4.198.185.90/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.198.185.192/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.198.185.246/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.198.187.22/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.200.48.30/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.200.48.37/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.200.57.70/31,IPv4,LogicApps.AustraliaEast,australiaeast
4.200.57.191/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.200.58.227/32,IPv4,LogicApps.AustraliaEast,australiaeast
4.237.173.80/28,IPv4,LogicApps.AustraliaEast,australiaeast
13.70.78.192/27,IPv4,LogicApps.AustraliaEast,australiaeast
20.11.76.122/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.11.76.135/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.11.77.49/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.11.77.54/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.11.77.107/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.11.77.111/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.53.72.170/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.53.93.188/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.53.94.103/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.53.106.182/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.53.107.208/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.53.107.215/32,IPv4,LogicApps.AustraliaEast,australiaeast
20.70.223.16/29,IPv4,LogicApps.AustraliaEast,australiaeast
20.70.223.32/27,IPv4,LogicApps.AustraliaEast,australiaeast
40.79.171.240/28,IPv4,LogicApps.AustraliaEast,australiaeast
2603:1010:6:402::3c0/124,IPv6,LogicApps.AustraliaEast,australiaeast
2603:1010:6:402::3e0/123,IPv6,LogicApps.AustraliaEast,australiaeast
