ip_address,ip_type,service,region
4.198.78.245/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
4.198.89.96/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.70.159.205/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.73.114.207/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.73.115.153/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.77.3.139/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.77.53.224/27,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.77.55.128/28,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.77.56.167/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
13.77.58.136/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.11.136.137/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.11.154.170/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.93.143/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.95.150/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.109.46/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.114.10/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.114.64/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.114.85/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.114.97/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.114.125/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.116.106/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.116.201/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.116.240/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.117.21/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.117.240/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.70.118.30/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.92.5.32/27,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.92.61.242/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.92.61.254/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.92.62.64/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.92.62.87/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.211.194.79/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.211.194.127/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.211.194.165/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.211.194.233/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
20.211.194.242/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.115.78.70/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.115.78.237/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.127.80.231/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.127.83.170/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.127.84.38/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.127.86.12/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.127.91.18/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
40.127.93.92/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.158.133.57/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.189.214.42/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.189.216.28/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.189.220.75/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.189.222.77/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.255.36.185/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
52.255.42.110/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
68.218.181.208/28,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
191.239.161.74/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
191.239.177.86/32,IPv4,LogicApps.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::3c0/124,IPv6,LogicApps.AustraliaSoutheast,australiasoutheast
2603:1010:101:402::3e0/123,IPv6,LogicApps.AustraliaSoutheast,australiasoutheast
