ip_address,ip_type,service,region
4.144.32.35/32,IPv4,LogicApps.EastAsia,eastasia
4.192.72.182/32,IPv4,LogicApps.EastAsia,eastasia
4.192.252.208/28,IPv4,LogicApps.EastAsia,eastasia
13.75.89.159/32,IPv4,LogicApps.EastAsia,eastasia
13.75.94.173/32,IPv4,LogicApps.EastAsia,eastasia
20.2.52.61/32,IPv4,LogicApps.EastAsia,eastasia
20.6.149.94/32,IPv4,LogicApps.EastAsia,eastasia
20.6.149.151/32,IPv4,LogicApps.EastAsia,eastasia
20.6.152.201/32,IPv4,LogicApps.EastAsia,eastasia
20.6.177.230/32,IPv4,LogicApps.EastAsia,eastasia
20.6.177.234/32,IPv4,LogicApps.EastAsia,eastasia
20.187.188.136/32,IPv4,LogicApps.EastAsia,eastasia
20.187.189.47/32,IPv4,LogicApps.EastAsia,eastasia
20.187.189.246/32,IPv4,LogicApps.EastAsia,eastasia
20.187.250.221/32,IPv4,LogicApps.EastAsia,eastasia
20.187.254.110/32,IPv4,LogicApps.EastAsia,eastasia
20.187.254.129/32,IPv4,LogicApps.EastAsia,eastasia
20.205.49.0/27,IPv4,LogicApps.EastAsia,eastasia
20.239.240.181/32,IPv4,LogicApps.EastAsia,eastasia
20.255.41.243/32,IPv4,LogicApps.EastAsia,eastasia
20.255.43.37/32,IPv4,LogicApps.EastAsia,eastasia
20.255.104.187/32,IPv4,LogicApps.EastAsia,eastasia
20.255.113.33/32,IPv4,LogicApps.EastAsia,eastasia
20.255.121.57/32,IPv4,LogicApps.EastAsia,eastasia
20.255.121.88/32,IPv4,LogicApps.EastAsia,eastasia
20.255.186.54/32,IPv4,LogicApps.EastAsia,eastasia
23.97.68.172/32,IPv4,LogicApps.EastAsia,eastasia
23.99.125.99/32,IPv4,LogicApps.EastAsia,eastasia
40.83.73.39/32,IPv4,LogicApps.EastAsia,eastasia
40.83.75.165/32,IPv4,LogicApps.EastAsia,eastasia
40.83.77.208/32,IPv4,LogicApps.EastAsia,eastasia
40.83.98.194/32,IPv4,LogicApps.EastAsia,eastasia
40.83.100.69/32,IPv4,LogicApps.EastAsia,eastasia
40.83.127.19/32,IPv4,LogicApps.EastAsia,eastasia
52.175.33.254/32,IPv4,LogicApps.EastAsia,eastasia
65.52.175.34/32,IPv4,LogicApps.EastAsia,eastasia
65.52.185.96/32,IPv4,LogicApps.EastAsia,eastasia
65.52.185.218/32,IPv4,LogicApps.EastAsia,eastasia
65.52.186.153/32,IPv4,LogicApps.EastAsia,eastasia
65.52.186.190/32,IPv4,LogicApps.EastAsia,eastasia
65.52.186.225/32,IPv4,LogicApps.EastAsia,eastasia
104.214.161.64/27,IPv4,LogicApps.EastAsia,eastasia
104.214.161.96/28,IPv4,LogicApps.EastAsia,eastasia
168.63.136.37/32,IPv4,LogicApps.EastAsia,eastasia
168.63.200.173/32,IPv4,LogicApps.EastAsia,eastasia
207.46.148.176/32,IPv4,LogicApps.EastAsia,eastasia
2603:1040:207:402::3c0/124,IPv6,LogicApps.EastAsia,eastasia
2603:1040:207:402::3e0/123,IPv6,LogicApps.EastAsia,eastasia
