ip_address,ip_type,service,region
4.190.142.240/28,IPv4,LogicApps.JapanWest,japanwest
20.89.226.101/32,IPv4,LogicApps.JapanWest,japanwest
20.89.226.188/32,IPv4,LogicApps.JapanWest,japanwest
20.89.226.241/32,IPv4,LogicApps.JapanWest,japanwest
20.89.227.14/32,IPv4,LogicApps.JapanWest,japanwest
20.89.227.25/32,IPv4,LogicApps.JapanWest,japanwest
20.89.227.63/32,IPv4,LogicApps.JapanWest,japanwest
20.189.194.184/29,IPv4,LogicApps.JapanWest,japanwest
20.189.198.64/28,IPv4,LogicApps.JapanWest,japanwest
20.189.198.80/29,IPv4,LogicApps.JapanWest,japanwest
23.100.109.62/32,IPv4,LogicApps.JapanWest,japanwest
23.100.110.250/32,IPv4,LogicApps.JapanWest,japanwest
40.74.75.184/32,IPv4,LogicApps.JapanWest,japanwest
40.74.119.158/32,IPv4,LogicApps.JapanWest,japanwest
40.74.119.237/32,IPv4,LogicApps.JapanWest,japanwest
40.74.120.8/32,IPv4,LogicApps.JapanWest,japanwest
40.74.128.79/32,IPv4,LogicApps.JapanWest,japanwest
40.74.129.115/32,IPv4,LogicApps.JapanWest,japanwest
40.80.180.16/28,IPv4,LogicApps.JapanWest,japanwest
40.80.180.32/27,IPv4,LogicApps.JapanWest,japanwest
104.46.234.170/32,IPv4,LogicApps.JapanWest,japanwest
104.46.237.16/32,IPv4,LogicApps.JapanWest,japanwest
138.91.16.164/32,IPv4,LogicApps.JapanWest,japanwest
138.91.17.15/32,IPv4,LogicApps.JapanWest,japanwest
138.91.17.137/32,IPv4,LogicApps.JapanWest,japanwest
138.91.17.144/32,IPv4,LogicApps.JapanWest,japanwest
138.91.17.197/32,IPv4,LogicApps.JapanWest,japanwest
138.91.21.233/32,IPv4,LogicApps.JapanWest,japanwest
138.91.22.178/32,IPv4,LogicApps.JapanWest,japanwest
138.91.22.248/32,IPv4,LogicApps.JapanWest,japanwest
138.91.26.67/32,IPv4,LogicApps.JapanWest,japanwest
138.91.26.236/32,IPv4,LogicApps.JapanWest,japanwest
138.91.26.244/32,IPv4,LogicApps.JapanWest,japanwest
138.91.27.82/32,IPv4,LogicApps.JapanWest,japanwest
138.91.27.244/32,IPv4,LogicApps.JapanWest,japanwest
138.91.28.97/32,IPv4,LogicApps.JapanWest,japanwest
2603:1040:606:402::3c0/124,IPv6,LogicApps.JapanWest,japanwest
2603:1040:606:402::3e0/123,IPv6,LogicApps.JapanWest,japanwest
