ip_address,ip_type,service,region
172.204.56.121/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.58.185/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.8/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.14/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.65/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.68/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.81/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.84/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.196/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.207/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.59.218/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.60.89/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.60.91/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.60.122/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.131.225/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.132.91/32,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.174.0/28,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.177.176/28,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.182.160/27,IPv4,LogicApps.NewZealandNorth,newzealandnorth
172.204.229.128/28,IPv4,LogicApps.NewZealandNorth,newzealandnorth
2603:1010:502:400::2d0/124,IPv6,LogicApps.NewZealandNorth,newzealandnorth
2603:1010:502:400::2e0/123,IPv6,LogicApps.NewZealandNorth,newzealandnorth
