ip_address,ip_type,service,region
20.51.6.176/28,IPv4,LogicApps.NorthCentralUS,northcentralus
20.51.6.192/28,IPv4,LogicApps.NorthCentralUS,northcentralus
20.80.33.190/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.88.47.77/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.88.49.21/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.88.49.23/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.88.51.31/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.88.55.77/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.98.61.245/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.102.251.70/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.102.255.209/32,IPv4,LogicApps.NorthCentralUS,northcentralus
20.102.255.252/32,IPv4,LogicApps.NorthCentralUS,northcentralus
23.101.160.111/32,IPv4,LogicApps.NorthCentralUS,northcentralus
23.101.167.207/32,IPv4,LogicApps.NorthCentralUS,northcentralus
23.101.174.98/32,IPv4,LogicApps.NorthCentralUS,northcentralus
40.116.64.218/32,IPv4,LogicApps.NorthCentralUS,northcentralus
40.116.65.34/32,IPv4,LogicApps.NorthCentralUS,northcentralus
40.116.65.125/32,IPv4,LogicApps.NorthCentralUS,northcentralus
40.116.66.226/32,IPv4,LogicApps.NorthCentralUS,northcentralus
52.162.111.144/28,IPv4,LogicApps.NorthCentralUS,northcentralus
52.162.111.160/27,IPv4,LogicApps.NorthCentralUS,northcentralus
52.162.177.30/32,IPv4,LogicApps.NorthCentralUS,northcentralus
52.162.177.90/32,IPv4,LogicApps.NorthCentralUS,northcentralus
52.162.177.104/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.48.9/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.48.31/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.48.234/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.48.255/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.49.208/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.50.30/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.50.180/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.51.138/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.51.180/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.52.146/32,IPv4,LogicApps.NorthCentralUS,northcentralus
172.183.233.80/28,IPv4,LogicApps.NorthCentralUS,northcentralus
2603:1030:608:402::3c0/124,IPv6,LogicApps.NorthCentralUS,northcentralus
2603:1030:608:402::3e0/123,IPv6,LogicApps.NorthCentralUS,northcentralus
