ip_address,ip_type,service,region
20.87.176.32/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.176.146/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.176.215/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.176.228/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.176.245/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.177.51/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.177.83/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.177.187/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.177.204/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.177.252/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.178.32/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.178.76/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.178.80/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
20.87.178.214/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
40.117.9.125/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
40.117.9.225/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
40.117.9.229/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
40.117.10.230/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.37.87.104/29,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.37.87.112/28,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.37.87.128/29,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.133.28.208/28,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.133.28.224/27,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.133.70.42/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.133.70.122/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.133.98.91/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
102.133.101.220/32,IPv4,LogicApps.SouthAfricaWest,southafricawest
172.209.9.240/28,IPv4,LogicApps.SouthAfricaWest,southafricawest
2603:1000:4:402::3c0/124,IPv6,LogicApps.SouthAfricaWest,southafricawest
2603:1000:4:402::3e0/123,IPv6,LogicApps.SouthAfricaWest,southafricawest
