ip_address,ip_type,service,region
68.221.1.175/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.2.37/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.2.156/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.3.7/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.3.29/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.3.54/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.103.16/28,IPv4,LogicApps.SpainCentral,spaincentral
68.221.103.32/27,IPv4,LogicApps.SpainCentral,spaincentral
68.221.109.64/28,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.9/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.175/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.177/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.184/30,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.191/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.202/31,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.205/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.208/31,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.210/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.213/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.214/31,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.227/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.229/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.249/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.251/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.249.252/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.250.1/32,IPv4,LogicApps.SpainCentral,spaincentral
68.221.250.2/32,IPv4,LogicApps.SpainCentral,spaincentral
70.156.77.128/28,IPv4,LogicApps.SpainCentral,spaincentral
2603:1020:1403:400::450/124,IPv6,LogicApps.SpainCentral,spaincentral
2603:1020:1403:400::460/123,IPv6,LogicApps.SpainCentral,spaincentral
