ip_address,ip_type,service,region
4.226.35.166/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
4.226.35.171/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.203.224.37/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.203.225.242/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.203.227.226/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.203.229.127/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.203.230.58/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.203.230.170/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.208.7.88/29,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.208.7.96/28,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.208.7.112/29,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.233.27/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.233.38/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.235.76/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.235.79/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.235.96/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.235.169/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.235.177/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.238.80/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.238.113/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.239.33/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.239.55/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.239.202/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
20.250.239.241/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.134.69/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.135.51/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.136.37/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.136.210/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.137.79/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.138.28/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.138.96/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.103.139.122/32,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.107.60.160/27,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
51.107.60.192/28,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
74.242.147.176/28,IPv4,LogicApps.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::3c0/124,IPv6,LogicApps.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::3e0/123,IPv6,LogicApps.SwitzerlandNorth,switzerlandn
