ip_address,ip_type,service,region
4.187.92.240/28,IPv4,LogicApps.WestIndia,westindia
20.38.128.176/28,IPv4,LogicApps.WestIndia,westindia
20.38.128.192/27,IPv4,LogicApps.WestIndia,westindia
20.192.84.216/29,IPv4,LogicApps.WestIndia,westindia
20.207.168.96/28,IPv4,LogicApps.WestIndia,westindia
20.207.168.112/29,IPv4,LogicApps.WestIndia,westindia
104.211.142.119/32,IPv4,LogicApps.WestIndia,westindia
104.211.153.240/32,IPv4,LogicApps.WestIndia,westindia
104.211.155.179/32,IPv4,LogicApps.WestIndia,westindia
104.211.156.193/32,IPv4,LogicApps.WestIndia,westindia
104.211.166.35/32,IPv4,LogicApps.WestIndia,westindia
104.211.167.12/32,IPv4,LogicApps.WestIndia,westindia
2603:1040:806:402::3c0/124,IPv6,LogicApps.WestIndia,westindia
2603:1040:806:402::3e0/123,IPv6,LogicApps.WestIndia,westindia
