ip_address,ip_type,service,region
4.149.67.227/32,IPv4,LogicApps.WestUS2,westus2
4.149.68.5/32,IPv4,LogicApps.WestUS2,westus2
4.149.68.65/32,IPv4,LogicApps.WestUS2,westus2
4.149.68.80/32,IPv4,LogicApps.WestUS2,westus2
4.149.68.107/32,IPv4,LogicApps.WestUS2,westus2
4.149.68.115/32,IPv4,LogicApps.WestUS2,westus2
4.155.160.115/32,IPv4,LogicApps.WestUS2,westus2
4.155.162.75/32,IPv4,LogicApps.WestUS2,westus2
4.155.162.242/32,IPv4,LogicApps.WestUS2,westus2
4.155.163.32/32,IPv4,LogicApps.WestUS2,westus2
4.155.163.91/32,IPv4,LogicApps.WestUS2,westus2
4.155.164.225/32,IPv4,LogicApps.WestUS2,westus2
13.66.128.68/32,IPv4,LogicApps.WestUS2,westus2
13.66.201.169/32,IPv4,LogicApps.WestUS2,westus2
13.66.210.167/32,IPv4,LogicApps.WestUS2,westus2
13.66.224.169/32,IPv4,LogicApps.WestUS2,westus2
13.66.246.219/32,IPv4,LogicApps.WestUS2,westus2
13.77.149.159/32,IPv4,LogicApps.WestUS2,westus2
13.77.152.21/32,IPv4,LogicApps.WestUS2,westus2
20.72.243.225/32,IPv4,LogicApps.WestUS2,westus2
20.72.244.58/32,IPv4,LogicApps.WestUS2,westus2
20.72.244.108/32,IPv4,LogicApps.WestUS2,westus2
20.99.189.70/32,IPv4,LogicApps.WestUS2,westus2
20.99.189.158/32,IPv4,LogicApps.WestUS2,westus2
20.99.190.19/32,IPv4,LogicApps.WestUS2,westus2
20.125.1.80/28,IPv4,LogicApps.WestUS2,westus2
20.125.1.96/28,IPv4,LogicApps.WestUS2,westus2
40.78.245.144/28,IPv4,LogicApps.WestUS2,westus2
40.78.245.160/27,IPv4,LogicApps.WestUS2,westus2
52.175.198.132/32,IPv4,LogicApps.WestUS2,westus2
52.183.29.132/32,IPv4,LogicApps.WestUS2,westus2
52.183.30.10/32,IPv4,LogicApps.WestUS2,westus2
52.183.30.169/32,IPv4,LogicApps.WestUS2,westus2
52.183.39.67/32,IPv4,LogicApps.WestUS2,westus2
172.179.35.160/28,IPv4,LogicApps.WestUS2,westus2
172.179.145.85/32,IPv4,LogicApps.WestUS2,westus2
172.179.145.245/32,IPv4,LogicApps.WestUS2,westus2
172.179.155.210/32,IPv4,LogicApps.WestUS2,westus2
172.179.155.215/32,IPv4,LogicApps.WestUS2,westus2
2603:1030:c06:400::bc0/124,IPv6,LogicApps.WestUS2,westus2
2603:1030:c06:400::be0/123,IPv6,LogicApps.WestUS2,westus2
