ip_address,ip_type,service,region
4.203.121.92/30,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
4.203.121.96/28,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
4.203.121.112/29,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
4.203.121.120/31,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
4.203.148.128/25,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
4.203.149.0/28,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
4.203.149.16/29,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
20.226.65.185/32,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
191.232.73.128/32,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
191.232.73.148/32,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
191.232.73.167/32,IPv4,MicrosoftCloudAppSecurity.BrazilSouth,brazilsouth
