ip_address,ip_type,service,region
4.213.28.74/31,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.213.28.76/30,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.213.28.80/28,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.213.28.96/29,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.213.106.240/28,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.213.107.0/25,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.213.107.128/29,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.224.61.207/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.247.146.233/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.247.147.47/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.247.147.52/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
4.247.147.60/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
20.204.251.239/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
20.219.160.169/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
20.219.210.31/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
20.219.210.182/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
20.219.213.154/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
98.70.107.227/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
98.70.110.179/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
98.70.110.221/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
98.70.110.236/32,IPv4,MicrosoftCloudAppSecurity.CentralIndia,centralindia
