ip_address,ip_type,service,region
20.42.29.162/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
20.42.31.48/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
20.42.31.251/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
20.228.186.154/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
40.71.14.16/28,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
40.76.78.217/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
40.78.229.64/28,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
40.79.156.112/28,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
40.114.112.147/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
40.121.134.1/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
48.211.15.16/28,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
48.211.15.64/27,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
48.211.16.0/24,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.151.237.243/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.151.238.5/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.151.244.65/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.151.247.27/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.188.217.236/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.190.26.220/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.190.31.62/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.191.237.188/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.191.238.65/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.188.157/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.188.168/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.190.225/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.191.62/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.201.216/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.201.223/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.202.86/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
52.224.202.91/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
57.152.117.114/31,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
57.152.117.120/29,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
57.152.117.128/25,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
57.152.118.0/27,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.168.103/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.168.104/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.168.106/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.168.108/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.168.111/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.168.114/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.70/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.127/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.161/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.173/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.174/31,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.176/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.178/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.180/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.182/31,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.184/31,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.186/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.188/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.191/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.194/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.45.170.196/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
104.211.9.226/32,IPv4,MicrosoftCloudAppSecurity.EastUS,eastus
