ip_address,ip_type,service,region
20.40.106.50/31,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.40.107.84/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.90.9.64/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.89.46/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.91.242/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.91.246/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.91.248/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.91.251/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.10/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.34/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.38/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.49/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.51/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.69/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.70/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.79/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.85/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.105/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.113/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.116/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.141/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.167/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.186/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
20.162.92.204/32,IPv4,MicrosoftCloudAppSecurity.UKWest,ukwest
