ip_address,ip_type,service,region
13.66.134.18/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.66.142.80/28,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.66.158.8/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.66.168.209/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.66.173.192/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.66.210.205/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.77.136.80/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.77.148.229/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.77.160.162/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.77.163.148/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
13.77.165.61/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
20.3.226.231/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
20.9.204.0/25,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.78.245.0/28,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.78.251.128/28,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.218.196/31,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.218.198/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.218.203/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.219.121/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.219.184/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.220.37/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.220.190/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.220.196/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.90.222.64/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.74.37/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.78.105/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.114.40/29,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.114.48/31,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.122.25/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.122.38/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.126.157/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
40.91.127.44/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
51.143.58.207/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
51.143.111.58/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
51.143.120.236/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
51.143.120.242/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
51.143.122.59/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
51.143.122.60/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.137.89.147/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.143.73.88/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.143.74.31/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.148.161.45/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.148.161.53/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.183.24.254/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.183.30.204/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.183.75.62/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
52.191.129.65/32,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.39.68/31,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.39.72/29,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.39.96/27,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.39.128/25,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.218.160/27,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.218.192/26,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
172.179.219.0/24,IPv4,MicrosoftCloudAppSecurity.WestUS2,westus2
