ip_address,ip_type,service,region
4.149.115.16/28,IPv4,MicrosoftDefenderForEndpoint,
4.190.130.32/28,IPv4,MicrosoftDefenderForEndpoint,
4.194.226.160/27,IPv4,MicrosoftDefenderForEndpoint,
4.208.13.0/24,IPv4,MicrosoftDefenderForEndpoint,
13.83.125.0/24,IPv4,MicrosoftDefenderForEndpoint,
20.8.195.0/24,IPv4,MicrosoftDefenderForEndpoint,
20.10.127.0/24,IPv4,MicrosoftDefenderForEndpoint,
20.15.141.0/24,IPv4,MicrosoftDefenderForEndpoint,
20.18.4.160/28,IPv4,MicrosoftDefenderForEndpoint,
20.19.31.144/28,IPv4,MicrosoftDefenderForEndpoint,
20.26.63.224/28,IPv4,MicrosoftDefenderForEndpoint,
20.91.96.64/28,IPv4,MicrosoftDefenderForEndpoint,
20.91.149.32/28,IPv4,MicrosoftDefenderForEndpoint,
20.175.2.208/28,IPv4,MicrosoftDefenderForEndpoint,
20.199.204.160/28,IPv4,MicrosoftDefenderForEndpoint,
20.204.195.240/28,IPv4,MicrosoftDefenderForEndpoint,
20.208.150.16/28,IPv4,MicrosoftDefenderForEndpoint,
20.211.228.80/28,IPv4,MicrosoftDefenderForEndpoint,
20.220.2.112/28,IPv4,MicrosoftDefenderForEndpoint,
20.226.211.64/28,IPv4,MicrosoftDefenderForEndpoint,
20.242.181.0/24,IPv4,MicrosoftDefenderForEndpoint,
20.254.173.48/28,IPv4,MicrosoftDefenderForEndpoint,
40.80.103.192/28,IPv4,MicrosoftDefenderForEndpoint,
52.172.85.0/28,IPv4,MicrosoftDefenderForEndpoint,
68.218.120.64/28,IPv4,MicrosoftDefenderForEndpoint,
