ip_address,ip_type,service,region
4.195.7.224/27,IPv4,PowerBI.AustraliaEast,australiaeast
4.198.215.224/27,IPv4,PowerBI.AustraliaEast,australiaeast
20.37.195.24/31,IPv4,PowerBI.AustraliaEast,australiaeast
20.37.195.48/29,IPv4,PowerBI.AustraliaEast,australiaeast
20.37.195.64/28,IPv4,PowerBI.AustraliaEast,australiaeast
20.37.195.128/26,IPv4,PowerBI.AustraliaEast,australiaeast
20.70.221.0/28,IPv4,PowerBI.AustraliaEast,australiaeast
20.70.221.224/27,IPv4,PowerBI.AustraliaEast,australiaeast
20.213.198.0/26,IPv4,PowerBI.AustraliaEast,australiaeast
51.56.96.224/27,IPv4,PowerBI.AustraliaEast,australiaeast
68.218.123.134/31,IPv4,PowerBI.AustraliaEast,australiaeast
68.218.134.44/30,IPv4,PowerBI.AustraliaEast,australiaeast
2603:1010:6::/122,IPv6,PowerBI.AustraliaEast,australiaeast
2603:1010:6::40/123,IPv6,PowerBI.AustraliaEast,australiaeast
2603:1010:6:1::5e0/123,IPv6,PowerBI.AustraliaEast,australiaeast
2603:1010:6:1::600/122,IPv6,PowerBI.AustraliaEast,australiaeast
