ip_address,ip_type,service,region
4.202.254.192/28,IPv4,PowerBI.BrazilSouth,brazilsouth
20.206.178.24/29,IPv4,PowerBI.BrazilSouth,brazilsouth
20.206.178.48/29,IPv4,PowerBI.BrazilSouth,brazilsouth
20.206.178.64/27,IPv4,PowerBI.BrazilSouth,brazilsouth
20.226.212.0/26,IPv4,PowerBI.BrazilSouth,brazilsouth
74.163.54.96/28,IPv4,PowerBI.BrazilSouth,brazilsouth
74.163.234.64/26,IPv4,PowerBI.BrazilSouth,brazilsouth
74.163.254.64/26,IPv4,PowerBI.BrazilSouth,brazilsouth
191.235.225.152/31,IPv4,PowerBI.BrazilSouth,brazilsouth
191.235.225.156/30,IPv4,PowerBI.BrazilSouth,brazilsouth
191.235.225.176/28,IPv4,PowerBI.BrazilSouth,brazilsouth
191.235.225.192/28,IPv4,PowerBI.BrazilSouth,brazilsouth
191.235.225.224/27,IPv4,PowerBI.BrazilSouth,brazilsouth
191.238.72.128/28,IPv4,PowerBI.BrazilSouth,brazilsouth
191.238.76.176/29,IPv4,PowerBI.BrazilSouth,brazilsouth
191.238.77.192/28,IPv4,PowerBI.BrazilSouth,brazilsouth
191.238.77.208/29,IPv4,PowerBI.BrazilSouth,brazilsouth
191.238.77.216/30,IPv4,PowerBI.BrazilSouth,brazilsouth
2603:1050:6::/122,IPv6,PowerBI.BrazilSouth,brazilsouth
2603:1050:6::40/123,IPv6,PowerBI.BrazilSouth,brazilsouth
2603:1050:6:1::5e0/123,IPv6,PowerBI.BrazilSouth,brazilsouth
2603:1050:6:1::600/122,IPv6,PowerBI.BrazilSouth,brazilsouth
