ip_address,ip_type,service,region
4.191.89.64/26,IPv4,PowerBI.EastAsia,eastasia
4.192.250.208/28,IPv4,PowerBI.EastAsia,eastasia
20.189.104.70/31,IPv4,PowerBI.EastAsia,eastasia
20.189.106.224/27,IPv4,PowerBI.EastAsia,eastasia
20.189.108.0/27,IPv4,PowerBI.EastAsia,eastasia
20.205.49.48/28,IPv4,PowerBI.EastAsia,eastasia
20.205.49.64/28,IPv4,PowerBI.EastAsia,eastasia
20.205.68.120/29,IPv4,PowerBI.EastAsia,eastasia
20.205.69.0/28,IPv4,PowerBI.EastAsia,eastasia
23.97.92.96/27,IPv4,PowerBI.EastAsia,eastasia
57.158.5.128/27,IPv4,PowerBI.EastAsia,eastasia
57.158.17.64/27,IPv4,PowerBI.EastAsia,eastasia
57.158.61.248/29,IPv4,PowerBI.EastAsia,eastasia
57.158.62.64/26,IPv4,PowerBI.EastAsia,eastasia
57.158.62.128/25,IPv4,PowerBI.EastAsia,eastasia
2603:1040:207::620/123,IPv6,PowerBI.EastAsia,eastasia
2603:1040:207::640/122,IPv6,PowerBI.EastAsia,eastasia
