ip_address,ip_type,service,region
4.243.117.16/29,IPv4,PowerBI.KoreaSouth,koreasouth
4.243.139.160/28,IPv4,PowerBI.KoreaSouth,koreasouth
20.200.166.224/28,IPv4,PowerBI.KoreaSouth,koreasouth
40.80.168.122/31,IPv4,PowerBI.KoreaSouth,koreasouth
40.80.168.124/30,IPv4,PowerBI.KoreaSouth,koreasouth
40.80.169.144/29,IPv4,PowerBI.KoreaSouth,koreasouth
52.147.113.176/30,IPv4,PowerBI.KoreaSouth,koreasouth
52.147.119.8/29,IPv4,PowerBI.KoreaSouth,koreasouth
2603:1040:e05:6::1c0/122,IPv6,PowerBI.KoreaSouth,koreasouth
2603:1040:e05:6::200/123,IPv6,PowerBI.KoreaSouth,koreasouth
